items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,"1,498","1,418","1,087","1,082",GRMN
Short Term Investments,348,375,527,379,GRMN
Cash and Short Term Invs,"1,846","1,793","1,614","1,461",GRMN
"Total Receivables, Net",854,610,710,652,GRMN
Invent. - Finished Goods,504,587,667,799,GRMN
Invent. - Work In Progress,214,207,207,194,GRMN
Invent. - Raw Materials,509,546,582,540,GRMN
Total Inventory,"1,228","1,340","1,455","1,533",GRMN
Prepaid Expenses,318,325,329,308,GRMN
"Other Curr. Assets, Total",16,15,15,14,GRMN
Total Current Assets,"4,262","4,082","4,123","3,968",GRMN
Prop./Plant/Equip. - Net,"1,157","1,194","1,242","1,222",GRMN
"Goodwill, Net",--,573,561,541,GRMN
Intangibles - Net,791,209,194,180,GRMN
Long Term Investments,"1,269","1,239","1,247","1,236",GRMN
Deferred Charges,12,11,11,10,GRMN
Def. Inc. Tax - LT Asset,260,302,348,390,GRMN
Restricted Cash - LT,1,1,1,1,GRMN
Other Long Term Assets,103,93,86,79,GRMN
Total Assets,"7,854","7,703","7,814","7,628",GRMN
Accounts Payable,370,299,320,269,GRMN
Accrued Expenses,604,489,525,495,GRMN
Notes Payable/ST Debt,0,0,0,0,GRMN
Dividends Payable,258,129,564,421,GRMN
Customer Advances,88,86,87,89,GRMN
Income Taxes Payable,128,148,128,170,GRMN
"Other Curr. Lblts, Total",474,364,779,679,GRMN
Total Current Liabilities,"1,448","1,153","1,624","1,443",GRMN
Total Long Term Debt,0,0,0,0,GRMN
Total Debt,0,0,0,0,GRMN
Deferred Income Tax,118,118,118,118,GRMN
"Other Liabilities, Total",175,184,206,189,GRMN
Total Liabilities,"1,740","1,454","1,948","1,749",GRMN
Common Stock,18,18,18,18,GRMN
Additional Paid-In Capital,"1,961","1,983","2,009","2,027",GRMN
Ret. Earn.(Accum. Deficit),"4,321","4,532","4,226","4,439",GRMN
Treasury Stock - Common,(303),(295),(316),(399),GRMN
Unrealized Gain (Loss),(6),(56),(72),(91),GRMN
"Other Equity, Total",123,67,2,(116),GRMN
Total Equity,"6,114","6,249","5,866","5,878",GRMN
Total Liabilities & Shareholders’ Equity,"7,854","7,703","7,814","7,628",GRMN
Ttl Comm. Shares Outs.,193,193,193,192,GRMN
Trsy. Shrs-Comm. Primary Iss.,5,5,5,6,GRMN
