items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash and Short Term Invs,"36,970","38,360","38,970","35,978",SHEL
"Total Receivables, Net","53,208","63,481","66,708","66,699",SHEL
Total Inventory,"25,258","30,008","36,087","34,721",SHEL
Discont. Ops.-Curr. Assets,"1,960","1,464",203,"2,335",SHEL
Other Current Assets,"11,369","18,708","23,256","23,585",SHEL
"Other Curr. Assets, Total","13,329","20,172","23,459","25,920",SHEL
Total Current Assets,"128,765","152,021","165,224","163,318",SHEL
Prop./Plant/Equip. - Net,"194,932","193,301","200,122","193,681",SHEL
Intangibles - Net,"24,693","24,935","25,540","24,362",SHEL
LT Invt. - Affiliate Comp.,"23,415","23,289","23,264","24,489",SHEL
LT Investments - Other,"3,797","3,550","3,507","3,491",SHEL
Long Term Investments,"27,212","26,839","26,771","27,980",SHEL
Note Rcvble - Long Term,"7,065","6,218","5,853","5,841",SHEL
Pension Bene. - Overfunded,"8,471","9,548","14,973","13,314",SHEL
Def. Inc. Tax - LT Asset,"12,426","11,420","8,575","7,885",SHEL
Other Long Term Assets,815,705,840,977,SHEL
Total Assets,"404,379","424,987","447,898","437,358",SHEL
Payable/Accrued,"63,173","71,741","75,445","70,341",SHEL
Notes Payable/ST Debt,0,0,0,0,SHEL
Curr. Port. LT Dbt/Cap Ls.,"8,218","7,027","6,521","8,046",SHEL
Income Taxes Payable,"3,254","3,752","4,506","4,332",SHEL
Discontinued Operations,"1,253","1,057",382,"1,483",SHEL
Other Current Liabilities,"19,649","29,721","31,824","34,470",SHEL
"Other Curr. Lblts, Total","24,156","34,530","36,712","40,285",SHEL
Total Current Liabilities,"95,547","113,298","118,678","118,672",SHEL
Total Long Term Debt,"80,868","79,021","77,220","73,944",SHEL
Total Debt,"89,086","86,048","83,741","81,990",SHEL
Deferred Income Tax,"12,547","13,021","16,145","16,893",SHEL
Minority Interest,"3,360","3,535","3,799","3,715",SHEL
Reserves,"25,804","25,583","25,798","21,551",SHEL
Pension Benefits - Underfunded,"11,325","10,464","8,693","7,475",SHEL
Other LT Liabilities,"2,962","4,067","7,065","8,586",SHEL
"Other Liabilities, Total","40,091","40,114","41,556","37,612",SHEL
Total Liabilities,"232,413","248,989","257,398","250,836",SHEL
Common Stock,641,630,614,598,SHEL
Additional Paid-In Capital,154,154,154,154,SHEL
Ret. Earn.(Accum. Deficit),"191,427","192,524","204,363","203,439",SHEL
Treasury Stock - Common,(610),(250),(184),(167),SHEL
Other Equity,--,--,--,0,SHEL
Other Comprehensive Income,"(19,646)","(17,060)","(14,447)","(17,502)",SHEL
"Other Equity, Total","(19,646)","(17,060)","(14,447)","(17,502)",SHEL
Total Equity,"171,966","175,998","190,500","186,522",SHEL
Total Liabilities & Shareholders’ Equity,"404,379","424,987","447,898","437,358",SHEL
Shr Outs.-Com. Primary Iss.,"4,101","7,551","7,355","7,168",SHEL
Shr Outs.-Com. Stk. Iss. 2,"3,583",--,--,--,SHEL
Ttl Comm. Shares Outs.,"7,684","7,551","7,355","7,168",SHEL
