items,2017,2018,2019,2020,2021,ticker
Net Income,"5,192","5,924","6,025","4,731","7,545",MCD
Depreciation/Depletion,"1,363","1,482","1,618","1,751","1,868",MCD
Deferred Taxes,(36),103,150,6,(428),MCD
Unusual Items,"(1,156)",(309),(128),(28),(98),MCD
Other Non-Cash Items,"1,168",239,159,17,(200),MCD
Non-Cash Items,12,(70),31,(11),(298),MCD
"Cash Taxes Pd, Supplemental","2,786","1,734","1,590","1,442","2,404",MCD
"Cash Interest Pd, Suppl",885,960,"1,067","1,136","1,197",MCD
Accounts Receivable,(341),(479),27,(7),310,MCD
Inventories,(37),(2),129,(69),(62),MCD
Accounts Payable,(60),129,(27),(138),225,MCD
Accrued Expenses,--,--,--,44,284,MCD
Changes in Working Capital,(981),(473),299,(212),454,MCD
Total Cash from Operations,"5,551","6,967","8,122","6,265","9,142",MCD
Capital Expenditures,"(1,854)","(2,742)","(2,394)","(1,641)","(2,040)",MCD
Acquisition of Business,(77),(102),(541),(66),(374),MCD
Sale of Business,"2,572",531,341,76,196,MCD
Sale of Fixed Assets,167,160,151,27,106,MCD
Other Investing Cash Flow,(246),(303),(629),57,(54),MCD
"OtherInvestCashFlowItms,Tot","2,416",287,(677),95,(126),MCD
Total Cash from Investing,562,"(2,455)","(3,071)","(1,546)","(2,166)",MCD
Financing Cash Flow Items,(21),(20),(24),(122),(47),MCD
Total Cash Dividends Paid,"(3,089)","(3,256)","(3,582)","(3,753)","(3,919)",MCD
"Common Stock, Net","(4,686)","(5,208)","(4,976)",(908),(846),MCD
Options Exercised,457,403,351,296,286,MCD
"Iss (Retirmnt) of Stock,Net","(4,229)","(4,805)","(4,626)",(612),(560),MCD
"Short Term Debt, Net","(1,050)",96,799,(893),15,MCD
Long Term Debt Issued,"4,728","3,795","4,499","5,543","1,154",MCD
Long Term Debt Reduction,"(1,649)","(1,760)","(2,062)","(2,412)","(2,240)",MCD
"Long Term Debt, Net","3,078","2,035","2,437","3,131","(1,086)",MCD
"Iss (Retirmnt) of Debt, Net","2,028","2,131","3,236","2,238","(1,071)",MCD
Total Cash From Financing,"(5,311)","(5,950)","(4,995)","(2,249)","(5,596)",MCD
Foreign Exchange Effects,264,(160),(24),80,(120),MCD
Net Change in Cash,"1,066","(1,598)",33,"2,551","1,260",MCD
NetCash-BeginBal/RsvdforFutUse,"1,223","2,464",866,899,"3,449",MCD
NetCash-EndBal/RsrvforFutUse,"2,290",866,899,"3,449","4,709",MCD
"Depreciation, Supplemental","1,363","1,482","1,618","1,751","1,868",MCD
