items,2017,2018,2019,2020,2021,ticker
Cash & Equivalents,"1,480",887,"2,444","3,370","2,428",DISH
Short Term Investments,501,"1,181",417,363,"2,976",DISH
Cash and Short Term Invs,"1,981","2,069","2,860","3,733","5,404",DISH
"Trade Accts Recvble, Gross",669,657,608,"1,176",981,DISH
Prov. for Doubtful Accts,(16),(17),(19),(72),(39),DISH
"Total Receivables, Net",654,640,588,"1,104",943,DISH
Invent. - Finished Goods,248,215,255,338,489,DISH
Invent. - Work In Progress,54,57,34,26,19,DISH
Invent. - Raw Materials,18,19,34,17,27,DISH
Total Inventory,321,291,323,380,535,DISH
"Other Curr. Assets, Total",329,290,243,"1,805",642,DISH
Total Current Assets,"3,285","3,289","4,015","7,022","7,523",DISH
Buildings,294,291,349,371,377,DISH
Land/Improvements,14,13,18,18,18,DISH
Machinery/Equipment,"3,167","2,861","3,717","3,471","3,265",DISH
Construction in Progress,103,101,278,126,"1,310",DISH
Other Prop./Plant/Equip.,"2,279","2,423","3,043","3,084","4,412",DISH
Prop./Plant/Equip. - Gross,"5,857","5,689","7,405","7,070","9,381",DISH
Accumulated Depreciation,"(3,673)","(3,760)","(4,555)","(4,784)","(4,630)",DISH
Prop./Plant/Equip. - Net,"2,184","1,928","2,851","2,287","4,751",DISH
Intangibles - Gross,"23,726","24,877","25,908","27,658","29,455",DISH
Accum. Intangible Amort.,--,(122),(118),(333),(375),DISH
Intangibles - Net,"23,726","24,754","25,790","27,664","29,307",DISH
Long Term Investments,113,119,160,150,151,DISH
Other Long Term Assets,393,429,355,"1,009",934,DISH
Total Assets,"29,774","30,587","33,231","38,240","48,002",DISH
Accounts Payable,393,234,281,395,848,DISH
Accrued Expenses,"2,657","2,545","2,363","2,748","2,845",DISH
Notes Payable/ST Debt,0,0,0,0,0,DISH
Curr. Port. LT Dbt/Cap Ls.,"1,069","1,342","1,171","2,086","2,062",DISH
"Other Curr. Lblts, Total",709,655,681,856,761,DISH
Total Current Liabilities,"4,828","4,776","4,496","6,085","6,516",DISH
Long Term Debt,"15,134","13,811","12,797","13,513","19,290",DISH
Capital Lease Obligations,--,--,172,104,65,DISH
Total Long Term Debt,"15,134","13,811","12,968","13,616","19,355",DISH
Total Debt,"16,203","15,153","14,140","15,702","21,417",DISH
Deferred Income Tax,"2,020","2,475","2,871","3,870","4,226",DISH
Minority Interest,384,459,552,351,396,DISH
"Other Liabilities, Total",470,471,780,538,"1,981",DISH
Total Liabilities,"22,836","21,991","21,666","24,460","32,475",DISH
Common Stock,5,5,5,5,5,DISH
Additional Paid-In Capital,"3,296","3,379","4,947","5,401","4,735",DISH
Ret. Earn.(Accum. Deficit),"3,635","5,213","6,612","8,375","10,786",DISH
Unrealized Gain (Loss),0,(1),0,0,0,DISH
"Other Equity, Total",1,0,0,(1),0,DISH
Total Equity,"6,937","8,596","11,565","13,780","15,527",DISH
Total Liabilities & Shareholders’ Equity,"29,774","30,587","33,231","38,240","48,002",DISH
Shr Outs.-Com. Primary Iss.,229,230,285,288,291,DISH
Shr Outs.-Com. Stk. Iss. 2,238,238,238,238,238,DISH
Ttl Comm. Shares Outs.,467,469,523,526,529,DISH
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,0,DISH
Trsy. Shrs-Comm. Iss. 2,0,0,0,0,0,DISH
