items,Q2 2022,Q3 2022,Q4 2022,Q1 2023,ticker
Cash & Equivalents,"1,923","2,420","2,119","2,067",PANW
Short Term Investments,"1,418","1,455","1,516","1,737",PANW
Cash and Short Term Invs,"3,340","3,875","3,635","3,804",PANW
"Trade Accts Recvble, Gross",965,"1,250","2,151","1,247",PANW
Prov. for Doubtful Accts,(13),(10),(9),(8),PANW
"Total Receivables, Net",952,"1,241","2,143","1,238",PANW
Prepaid Expenses,293,289,314,376,PANW
Restricted Cash - Current,5,6,6,6,PANW
Other Current Assets,278,287,318,311,PANW
"Other Curr. Assets, Total",283,293,324,316,PANW
Total Current Assets,"4,869","5,698","6,415","5,734",PANW
Prop./Plant/Equip. - Net,602,596,600,614,PANW
"Goodwill, Net","2,731","2,731","2,748","2,748",PANW
Intangibles - Gross,795,795,795,795,PANW
Accum. Intangible Amort.,(351),(383),(414),(444),PANW
Intangibles - Net,444,412,385,355,PANW
Long Term Investments,851,715,"1,052","2,095",PANW
Deferred Charges,472,480,550,520,PANW
Restricted Cash - LT,0,0,0,0,PANW
Other Long Term Assets,432,469,505,478,PANW
Total Assets,"10,401","11,100","12,254","12,544",PANW
Accounts Payable,120,108,128,126,PANW
Accrued Expenses,654,741,860,649,PANW
Notes Payable/ST Debt,0,0,0,0,PANW
Curr. Port. LT Dbt/Cap Ls.,"3,674","3,676","3,677","3,679",PANW
"Other Curr. Lblts, Total","2,958","3,153","3,641","3,741",PANW
Total Current Liabilities,"7,406","7,677","8,306","8,195",PANW
Total Long Term Debt,0,0,0,0,PANW
Total Debt,"3,674","3,676","3,677","3,679",PANW
"Other Liabilities, Total","2,876","3,085","3,737","3,841",PANW
Total Liabilities,"10,283","10,762","12,044","12,036",PANW
Redeemable Preferred Stock,0,0,0,0,PANW
Common Stock,0,0,0,0,PANW
Additional Paid-In Capital,"1,745","2,066","1,933","2,266",PANW
Ret. Earn.(Accum. Deficit),"(1,597)","(1,670)","(1,667)","(1,647)",PANW
"Other Equity, Total",(30),(58),(56),(111),PANW
Total Equity,118,338,210,508,PANW
Total Liabilities & Shareholders’ Equity,"10,401","11,100","12,254","12,544",PANW
Ttl Comm. Shares Outs.,296,299,299,302,PANW
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,PANW
