items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash and Short Term Invs,"9,254","6,526","6,014","6,346",CAT
"Trade Accts Recvble, Net","8,477","9,135","8,393","8,158",CAT
Notes Recvble - Short Term,"8,898","9,003","8,922","8,918",CAT
"Total Receivables, Net","17,375","18,138","17,315","17,076",CAT
Invent. - Finished Goods,"6,907","7,390","7,850","8,387",CAT
Invent. - Work In Progress,"1,318","1,438","1,604","1,836",CAT
Invent. - Raw Materials,"5,813","6,210","6,427","6,637",CAT
Total Inventory,"14,038","15,038","15,881","16,860",CAT
Prepaid Expenses,"2,788","2,868","2,772","2,295",CAT
Total Current Assets,"43,455","42,570","41,982","42,577",CAT
Prop./Plant/Equip. - Net,"12,090","11,932","11,744","11,643",CAT
"Goodwill, Net","6,324","6,293","6,195","6,092",CAT
Intangibles - Gross,"4,049","3,877","3,824","3,781",CAT
Accum. Intangible Amort.,"(3,007)","(2,910)","(2,935)","(2,975)",CAT
Intangibles - Net,"1,042",967,889,806,CAT
Note Rcvble - Long Term,"13,911","13,869","13,569","13,137",CAT
Other Long Term Assets,"4,131","4,672","4,607","4,434",CAT
Total Assets,"82,793","82,276","81,107","80,907",CAT
Accounts Payable,"8,154","8,361","8,092","8,260",CAT
Accrued Expenses,"5,999","5,121","5,554","6,217",CAT
Notes Payable/ST Debt,"5,404","4,501","5,002","4,202",CAT
Curr. Port. LT Dbt/Cap Ls.,"6,352","7,806","5,741","6,814",CAT
Dividends Payable,595,0,633,0,CAT
Customer Advances,"1,087","1,388","1,608","1,831",CAT
Other Current Liabilities,"2,256","2,355","2,333","2,878",CAT
"Other Curr. Lblts, Total","3,938","3,743","4,574","4,709",CAT
Total Current Liabilities,"29,847","29,532","28,963","30,202",CAT
Total Long Term Debt,"26,033","25,277","26,219","25,509",CAT
Total Debt,"37,789","37,584","36,962","36,525",CAT
Minority Interest,32,32,32,31,CAT
Pension Benefits - Underfunded,"5,592","5,363","5,160","5,038",CAT
Other LT Liabilities,"4,805","5,007","5,006","4,536",CAT
"Other Liabilities, Total","10,397","10,370","10,166","9,574",CAT
Total Liabilities,"66,309","65,211","65,380","65,316",CAT
Common Stock,"6,398","6,281","6,464","6,523",CAT
Ret. Earn.(Accum. Deficit),"39,282","40,820","41,263","43,304",CAT
Treasury Stock - Common,"(27,643)","(28,326)","(29,501)","(30,883)",CAT
Unrealized Gain (Loss),20,(44),(87),(131),CAT
Cum. Trans. Adjustment,"(1,508)","(1,623)","(2,282)","(2,900)",CAT
Min. Pension Lblty Adj.,(62),(63),(64),(65),CAT
Other Comprehensive Income,(3),20,(66),(257),CAT
"Other Equity, Total","(1,573)","(1,666)","(2,412)","(3,222)",CAT
Total Equity,"16,484","17,065","15,727","15,591",CAT
Total Liabilities & Shareholders’ Equity,"82,793","82,276","81,107","80,907",CAT
Ttl Comm. Shares Outs.,536,533,528,520,CAT
Trsy. Shrs-Comm. Primary Iss.,279,282,287,294,CAT
