items,Q3 2022,Q4 2022,Q1 2023,Q2 2023,ticker
Cash & Equivalents,"1,334","1,276",528,553,VFC
Short Term Investments,0,0,0,--,VFC
Cash and Short Term Invs,"1,334","1,276",528,553,VFC
"Trade Accts Recvble, Gross","1,529","1,496","1,279","1,862",VFC
Prov. for Doubtful Accts,(33),(28),(30),(28),VFC
"Total Receivables, Net","1,497","1,469","1,252","1,837",VFC
Invent. - Finished Goods,"1,218","1,353","2,277","2,689",VFC
Invent. - Work In Progress,50,51,49,47,VFC
Invent. - Raw Materials,19,14,15,14,VFC
Total Inventory,"1,287","1,419","2,341","2,750",VFC
Discont. Ops.-Curr. Assets,0,0,--,--,VFC
Other Current Assets,482,425,491,548,VFC
"Other Curr. Assets, Total",482,425,491,548,VFC
Total Current Assets,"4,601","4,588","4,612","5,688",VFC
Prop./Plant/Equip. - Net,"2,352","2,289","2,235","2,201",VFC
"Goodwill, Net","2,409","2,394","2,360","2,103",VFC
Intangibles - Gross,"3,170","3,161","3,145","2,936",VFC
Accum. Intangible Amort.,(160),(161),(161),(160),VFC
Intangibles - Net,"3,011","3,000","2,984","2,776",VFC
Other Long Term Assets,"1,164","1,071","1,021","1,016",VFC
Total Assets,"13,536","13,342","13,212","13,784",VFC
Accounts Payable,560,563,"1,023","1,022",VFC
Accrued Expenses,"1,983","1,845","1,532","1,721",VFC
Notes Payable/ST Debt,106,335,827,"1,693",VFC
Curr. Port. LT Dbt/Cap Ls.,501,501,1,832,VFC
Customer Advances,74,71,81,77,VFC
Discontinued Operations,0,0,--,--,VFC
"Other Curr. Lblts, Total",74,71,81,77,VFC
Total Current Liabilities,"3,224","3,315","3,464","5,346",VFC
Total Long Term Debt,"4,646","4,584","4,468","3,526",VFC
Total Debt,"5,253","5,421","5,297","6,051",VFC
"Other Liabilities, Total","2,013","1,912","1,927","1,826",VFC
Total Liabilities,"9,883","9,812","9,859","10,699",VFC
"Pref. Stock-Non Rdmbl, Net",0,0,0,--,VFC
Common Stock,97,97,97,97,VFC
Additional Paid-In Capital,"3,885","3,916","3,941","3,953",VFC
Ret. Earn.(Accum. Deficit),609,443,189,(120),VFC
Cum. Trans. Adjustment,(713),(752),(833),(884),VFC
Min. Pension Lblty Adj.,(249),(230),(174),(167),VFC
Other Comprehensive Income,24,55,132,206,VFC
"Other Equity, Total",(937),(927),(875),(844),VFC
Total Equity,"3,653","3,530","3,352","3,086",VFC
Total Liabilities & Shareholders’ Equity,"13,536","13,342","13,212","13,784",VFC
Ttl Comm. Shares Outs.,389,388,388,389,VFC
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,VFC
