items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,"36,220","36,393","37,478","34,947",AMZN
Short Term Investments,"59,829","29,992","23,232","23,715",AMZN
Cash and Short Term Invs,"96,049","66,385","60,710","58,662",AMZN
"Trade Accts Recvble, Gross","33,991","33,413","35,797","37,230",AMZN
Prov. for Doubtful Accts,"(1,100)","(1,100)","(1,200)","(1,300)",AMZN
"Total Receivables, Net","32,891","32,313","34,597","35,930",AMZN
Total Inventory,"32,640","34,987","38,153","36,647",AMZN
"Other Curr. Assets, Total",--,191,207,224,AMZN
Total Current Assets,"161,580","133,876","133,667","131,463",AMZN
Prop./Plant/Equip. - Net,"216,363","224,629","232,136","239,228",AMZN
"Goodwill, Net","15,371","20,229","20,195","20,168",AMZN
Long Term Investments,"20,300","11,800","6,600","7,800",AMZN
Other Long Term Assets,"6,920","20,218","27,115","29,696",AMZN
Total Assets,"420,549","410,767","419,728","428,362",AMZN
Accounts Payable,"78,664","68,547","71,219","67,760",AMZN
Accrued Expenses,"50,284","55,243","51,005","55,473",AMZN
Notes Payable/ST Debt,0,0,0,0,AMZN
Curr. Port. LT Dbt/Cap Ls.,"1,491","2,898","5,249","4,501",AMZN
"Other Curr. Lblts, Total","11,827","12,820","12,818","12,629",AMZN
Total Current Liabilities,"142,266","139,508","140,291","140,363",AMZN
Long Term Debt,"48,744","47,556","58,053","58,919",AMZN
Capital Lease Obligations,"15,670","20,885","19,425","18,295",AMZN
Total Long Term Debt,"64,414","68,441","77,478","77,214",AMZN
Total Debt,"65,905","71,339","82,727","81,715",AMZN
"Other Liabilities, Total","75,624","68,817","70,557","73,296",AMZN
Total Liabilities,"282,304","276,766","288,326","290,873",AMZN
"Pref. Stock-Non Rdmbl, Net",0,0,0,0,AMZN
Common Stock,5,5,107,107,AMZN
Additional Paid-In Capital,"55,538","58,793","63,871","69,419",AMZN
Ret. Earn.(Accum. Deficit),"85,915","82,071","80,043","82,915",AMZN
Treasury Stock - Common,"(1,837)","(4,503)","(7,837)","(7,837)",AMZN
"Other Equity, Total","(1,376)","(2,365)","(4,782)","(7,115)",AMZN
Total Equity,"138,245","134,001","131,402","137,489",AMZN
Total Liabilities & Shareholders’ Equity,"420,549","410,767","419,728","428,362",AMZN
Ttl Comm. Shares Outs.,"10,180","10,180","10,183","10,198",AMZN
Trsy. Shrs-Comm. Primary Iss.,460,480,516,516,AMZN
