items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash and Short Term Invs,486,365,412,410,YUM
"Trade Accts Recvble, Gross",632,606,639,613,YUM
Prov. for Doubtful Accts,(36),(41),(41),(34),YUM
"Total Receivables, Net",596,565,598,579,YUM
Prepaid Expenses,200,208,237,428,YUM
"Other Curr. Assets, Total",250,218,182,178,YUM
Total Current Assets,"1,532","1,356","1,429","1,595",YUM
Other Prop./Plant/Equip.,"2,477","2,468","2,491","2,376",YUM
Prop./Plant/Equip. - Gross,"2,477","2,468","2,491","2,376",YUM
Accumulated Depreciation,"(1,270)","(1,287)","(1,299)","(1,262)",YUM
Prop./Plant/Equip. - Net,"2,016","1,972","1,968","1,848",YUM
"Goodwill, Net",657,656,649,633,YUM
Intangibles - Net,359,354,361,341,YUM
Def. Inc. Tax - LT Asset,724,784,702,667,YUM
Restricted Cash - LT,35,35,34,34,YUM
Other Long Term Assets,643,659,647,661,YUM
Total Assets,"5,966","5,816","5,790","5,779",YUM
Payable/Accrued,"1,334","1,202","1,090","1,156",YUM
Notes Payable/ST Debt,0,0,0,0,YUM
Curr. Port. LT Dbt/Cap Ls.,68,73,72,72,YUM
"Other Curr. Lblts, Total",13,27,21,16,YUM
Total Current Liabilities,"1,415","1,302","1,183","1,244",YUM
Total Long Term Debt,"11,178","11,332","11,540","11,517",YUM
Total Debt,"11,246","11,405","11,612","11,589",YUM
"Other Liabilities, Total","1,746","1,673","1,635","1,560",YUM
Total Liabilities,"14,339","14,307","14,358","14,321",YUM
Common Stock,0,0,0,0,YUM
Ret. Earn.(Accum. Deficit),"(8,048)","(8,199)","(8,274)","(8,244)",YUM
Cum. Trans. Adjustment,(206),(229),(250),(305),YUM
Min. Pension Lblty Adj.,(34),(30),(27),(8),YUM
Other Comprehensive Income,(85),(33),(17),15,YUM
"Other Equity, Total",(325),(292),(294),(298),YUM
Total Equity,"(8,373)","(8,491)","(8,568)","(8,542)",YUM
Total Liabilities & Shareholders’ Equity,"5,966","5,816","5,790","5,779",YUM
Ttl Comm. Shares Outs.,289,286,285,284,YUM
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,YUM
