items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash and Short Term Invs,"1,041",807,608,515,HUN
"Trade Accts Recvble, Gross","1,184","1,308","1,283",992,HUN
Prov. for Doubtful Accts,(25),(23),(24),(11),HUN
"Trade Accts Recvble, Net","1,159","1,285","1,259",981,HUN
Other Receivables,360,358,29,23,HUN
"Total Receivables, Net","1,519","1,643","1,288","1,004",HUN
Invent. - Finished Goods,909,"1,029","1,034",822,HUN
Invent. - Work In Progress,52,66,70,44,HUN
Invent. - Raw Materials,282,332,343,263,HUN
LIFO Reserve,(42),(45),(46),(50),HUN
Total Inventory,"1,201","1,382","1,401","1,079",HUN
Discont. Ops.-Curr. Assets,--,--,--,483,HUN
Other Current Assets,167,156,140,115,HUN
"Other Curr. Assets, Total",167,156,140,598,HUN
Total Current Assets,"3,928","3,988","3,437","3,196",HUN
Prop./Plant/Equip. - Net,"2,979","2,941","2,893","2,647",HUN
"Goodwill, Net",650,650,648,636,HUN
Intangibles - Net,469,461,448,433,HUN
Long Term Investments,470,485,431,430,HUN
Other Long Term Assets,690,673,668,623,HUN
Total Assets,"9,392","9,402","8,721","8,132",HUN
Accounts Payable,"1,208","1,315","1,128",898,HUN
Accrued Expenses,831,782,481,443,HUN
Notes Payable/ST Debt,0,0,0,0,HUN
Curr. Port. LT Dbt/Cap Ls.,12,21,13,12,HUN
"Other Curr. Lblts, Total",--,--,--,242,HUN
Total Current Liabilities,"2,051","2,118","1,622","1,595",HUN
Total Long Term Debt,"1,538","1,529","1,508","1,476",HUN
Total Debt,"1,550","1,550","1,521","1,488",HUN
Deferred Income Tax,161,178,220,249,HUN
Minority Interest,193,211,225,240,HUN
"Other Liabilities, Total","1,083","1,037","1,020",828,HUN
Total Liabilities,"5,026","5,073","4,595","4,388",HUN
Common Stock,3,3,3,3,HUN
Additional Paid-In Capital,"4,102","4,152","4,154","4,155",HUN
Ret. Earn.(Accum. Deficit),"2,435","2,595","2,778","2,836",HUN
Treasury Stock - Common,(934),"(1,144)","(1,435)","(1,686)",HUN
Cum. Trans. Adjustment,(420),(440),(554),(758),HUN
Min. Pension Lblty Adj.,(810),(801),(792),(782),HUN
Other Comprehensive Income,(10),(36),(28),(24),HUN
"Other Equity, Total","(1,240)","(1,277)","(1,374)","(1,564)",HUN
Total Equity,"4,366","4,329","4,126","3,744",HUN
Total Liabilities & Shareholders’ Equity,"9,392","9,402","8,721","8,132",HUN
Ttl Comm. Shares Outs.,214,210,202,193,HUN
Trsy. Shrs-Comm. Primary Iss.,46,51,59,68,HUN
