items,2017,2018,2019,2020,2021,ticker
Net Income,"10,932","(10,254)","1,933",361,"1,024",KHC
Depreciation/Depletion,"1,031",983,994,969,910,KHC
Deferred Taxes,"(6,495)","(1,967)",(293),(343),"(1,042)",KHC
Unusual Items,49,"15,936","1,479","3,401","2,503",KHC
Other Non-Cash Items,"(1,652)",(61),(328),94,"1,563",KHC
Non-Cash Items,"(1,603)","15,875","1,151","3,495","4,066",KHC
"Cash Taxes Pd, Supplemental","1,206",543,974,"1,027","1,295",KHC
"Cash Interest Pd, Suppl","1,269","1,322","1,306","1,286","1,196",KHC
Accounts Receivable,"(2,629)","(2,280)",140,(26),87,KHC
Inventories,(236),(251),(277),(266),(144),KHC
Other Assets,(64),(146),52,46,(32),KHC
Accounts Payable,441,(23),(58),207,408,KHC
Changes in Working Capital,"(3,364)","(2,063)",(233),447,406,KHC
Total Cash from Operations,501,"2,574","3,552","4,929","5,364",KHC
Capital Expenditures,"(1,194)",(826),(768),(596),(905),KHC
Acquisition of Business,0,(248),(199),0,(74),KHC
Sale of Business,--,--,"1,875",0,"5,014",KHC
Sale/Maturity of Investment,--,--,590,25,--,KHC
Other Investing Cash Flow,"2,371","1,362",13,49,3,KHC
"OtherInvestCashFlowItms,Tot","2,371","1,114","2,279",74,"4,943",KHC
Total Cash from Investing,"1,177",288,"1,511",(522),"4,038",KHC
Financing Cash Flow Items,18,(28),(33),(60),(259),KHC
Cash Divids Paid - Common,"(2,888)","(3,183)","(1,953)","(1,958)","(1,959)",KHC
Cash Divs Paid - Preferred,0,0,--,--,--,KHC
Total Cash Dividends Paid,"(2,888)","(3,183)","(1,953)","(1,958)","(1,959)",KHC
"Iss (Retirmnt) of Stock,Net",0,0,--,--,--,KHC
Short Term Debt Issued,"6,043","2,784",557,"4,000",0,KHC
Short Term Debt Reduction,"(6,249)","(3,213)",(557),"(4,000)",0,KHC
"Short Term Debt, Net",(206),(429),0,0,0,KHC
Long Term Debt Issued,"1,496","2,990","2,967","3,500",0,KHC
Long Term Debt Reduction,"(2,641)","(2,713)","(4,894)","(4,813)","(7,126)",KHC
"Long Term Debt, Net","(1,145)",277,"(1,927)","(1,313)","(7,126)",KHC
"Iss (Retirmnt) of Debt, Net","(1,351)",(152),"(1,927)","(1,313)","(7,126)",KHC
Total Cash From Financing,"(4,221)","(3,363)","(3,913)","(3,331)","(9,344)",KHC
Foreign Exchange Effects,57,(132),(6),62,(30),KHC
Net Change in Cash,"(2,486)",(633),"1,144","1,138",28,KHC
NetCash-BeginBal/RsvdforFutUse,"4,255","1,769","1,136","2,280","3,418",KHC
NetCash-EndBal/RsrvforFutUse,"1,769","1,136","2,280","3,418","3,446",KHC
"Depreciation, Supplemental","1,031",983,994,969,910,KHC
