items,Q1 2022,Q2 2022,Q3 2022,Q4 2022,ticker
Net Income,"3,959","7,606","11,017","14,957",V
Depreciation/Depletion,198,405,635,861,V
Deferred Taxes,(15),21,(203),(336),V
Equity in Net Earnings/Loss,(238),(120),111,221,V
Other Non-Cash Items,"2,467","5,122","7,834","10,803",V
Non-Cash Items,"2,229","5,002","7,945","11,024",V
"Cash Taxes Pd, Supplemental",268,"2,107","2,891","3,741",V
"Cash Interest Pd, Suppl",244,304,548,607,V
Accounts Receivable,(289),(170),(328),(494),V
Other Assets,"(2,502)","(4,794)","(7,493)","(10,017)",V
Accounts Payable,400,36,857,"1,323",V
Accrued Expenses,252,(385),543,"1,531",V
Changes in Working Capital,"(2,139)","(5,313)","(6,421)","(7,657)",V
Total Cash from Operations,"4,232","7,721","12,973","18,849",V
Capital Expenditures,(173),(440),(675),(970),V
Acquisition of Business,(832),"(1,945)","(1,945)","(1,948)",V
Sale/Maturity of Investment,"1,374","1,975","2,580","4,585",V
Purchase of Investments,(988),"(2,003)","(4,483)","(6,083)",V
Other Investing Cash Flow,72,81,128,128,V
"OtherInvestCashFlowItms,Tot",(374),"(1,892)","(3,720)","(3,318)",V
Total Cash from Investing,(547),"(2,332)","(4,395)","(4,288)",V
Financing Cash Flow Items,(113),(116),(132),(318),V
Total Cash Dividends Paid,(809),"(1,611)","(2,409)","(3,203)",V
"Common Stock, Net","(4,104)","(7,053)","(9,486)","(11,589)",V
Options Exercised,59,113,153,196,V
"Iss (Retirmnt) of Stock,Net","(4,045)","(6,940)","(9,333)","(11,393)",V
"Short Term Debt, Net",--,300,--,--,V
Long Term Debt Issued,--,--,"3,218","3,218",V
Long Term Debt Reduction,0,0,0,"(1,000)",V
"Long Term Debt, Net",0,0,"3,218","2,218",V
"Iss (Retirmnt) of Debt, Net",0,300,"3,218","2,218",V
Total Cash From Financing,"(4,967)","(8,367)","(8,656)","(12,696)",V
Foreign Exchange Effects,(194),(305),(725),"(1,287)",V
Net Change in Cash,"(1,476)","(3,283)",(803),578,V
NetCash-BeginBal/RsvdforFutUse,"19,799","19,799","19,799","19,799",V
NetCash-EndBal/RsrvforFutUse,"18,323","16,516","18,996","20,377",V
"Depreciation, Supplemental",198,405,635,861,V
