items,Q4 2022,Q1 2023,Q2 2023,Q3 2023,ticker
Cash and Short Term Invs,"14,760","11,817","13,923","11,587",WMT
"Total Receivables, Net","8,280","7,674","7,522","8,218",WMT
Total Inventory,"56,511","61,229","59,921","64,706",WMT
Prepaid Expenses,"1,519","2,500","2,798","3,169",WMT
Total Current Assets,"81,070","83,220","84,164","87,680",WMT
Prop./Plant/Equip. - Net,"112,624","113,217","114,392","115,544",WMT
"Goodwill, Net","29,014","29,438","28,664","28,137",WMT
Other Long Term Assets,"22,152","20,267","19,979","16,295",WMT
Total Assets,"244,860","246,142","247,199","247,656",WMT
Accounts Payable,"55,261","52,926","54,191","57,263",WMT
Accrued Expenses,"27,543","22,546","25,307","28,900",WMT
Notes Payable/ST Debt,410,"11,432","10,634","6,811",WMT
Curr. Port. LT Dbt/Cap Ls.,"3,314","4,091","5,850","6,007",WMT
Dividends Payable,--,"4,631","3,049","1,527",WMT
Income Taxes Payable,851,904,868,900,WMT
"Other Curr. Lblts, Total",851,"5,535","3,917","2,427",WMT
Total Current Liabilities,"87,379","96,530","99,899","101,408",WMT
Long Term Debt,"34,864","32,174","29,801","33,935",WMT
Capital Lease Obligations,"4,243","4,409","4,420","4,512",WMT
Total Long Term Debt,"39,107","36,583","34,221","38,447",WMT
Total Debt,"42,831","52,106","50,705","51,265",WMT
Deferred Income Tax,"13,474","13,943","14,092","14,760",WMT
Minority Interest,"8,638","8,964","8,278","8,130",WMT
"Other Liabilities, Total","13,009","13,226","13,140","12,658",WMT
Total Liabilities,"161,607","169,246","169,630","175,403",WMT
Common Stock,276,275,272,270,WMT
Additional Paid-In Capital,"4,839","4,587","4,672","4,817",WMT
Ret. Earn.(Accum. Deficit),"86,904","80,532","82,519","77,946",WMT
Cum. Trans. Adjustment,"(8,100)","(7,875)","(8,980)","(9,691)",WMT
Min. Pension Lblty Adj.,(12),(11),(9),(9),WMT
Other Comprehensive Income,(654),(612),(905),"(1,080)",WMT
"Other Equity, Total","(8,766)","(8,498)","(9,894)","(10,780)",WMT
Total Equity,"83,253","76,896","77,569","72,253",WMT
Total Liabilities & Shareholders’ Equity,"244,860","246,142","247,199","247,656",WMT
Ttl Comm. Shares Outs.,"2,761","2,748","2,722","2,701",WMT
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,WMT
