items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash and Short Term Invs,0,--,--,--,AM
"Trade Accts Recvble, Net",82,78,76,79,AM
Other Receivables,1,1,1,1,AM
"Total Receivables, Net",83,79,76,80,AM
"Other Curr. Assets, Total",1,1,1,1,AM
Total Current Assets,84,80,77,81,AM
Land/Improvements,23,27,27,27,AM
Machinery/Equipment,5,5,5,5,AM
Construction in Progress,174,229,149,115,AM
Other Prop./Plant/Equip.,"3,458","3,495","3,641","3,725",AM
Prop./Plant/Equip. - Gross,"3,661","3,755","3,822","3,872",AM
Accumulated Depreciation,(266),(294),(329),(364),AM
Prop./Plant/Equip. - Net,"3,395","3,461","3,492","3,508",AM
Intangibles - Gross,"1,427",--,--,--,AM
Accum. Intangible Amort.,(71),--,--,--,AM
Intangibles - Net,"1,357","1,339","1,321","1,304",AM
Long Term Investments,696,688,682,659,AM
Other Long Term Assets,13,12,13,12,AM
Total Assets,"5,544","5,581","5,586","5,564",AM
Accounts Payable,29,38,27,27,AM
Accrued Expenses,81,97,91,73,AM
Notes Payable/ST Debt,0,0,0,0,AM
"Other Curr. Lblts, Total",5,4,6,7,AM
Total Current Liabilities,114,139,124,106,AM
Total Long Term Debt,"3,123","3,133","3,158","3,143",AM
Total Debt,"3,123","3,133","3,158","3,143",AM
Deferred Income Tax,14,42,68,99,AM
"Other Liabilities, Total",7,7,5,4,AM
Total Liabilities,"3,257","3,321","3,355","3,352",AM
Common Stock,5,5,5,5,AM
Additional Paid-In Capital,"2,414","2,308","2,198","2,123",AM
Ret. Earn.(Accum. Deficit),(132),(52),27,84,AM
Total Equity,"2,287","2,260","2,230","2,212",AM
Total Liabilities & Shareholders’ Equity,"5,544","5,581","5,586","5,564",AM
Ttl Comm. Shares Outs.,477,478,477,478,AM
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,AM
