items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Total Revenue,"12,011","11,390","10,771","10,982",AZN
"Cost of Revenue, Total","3,069","2,279","1,904","2,118",AZN
"Sell/Gen/AdminExpenses,Tot","4,082","3,057","3,633","3,353",AZN
Research & Development,"2,927","2,186","2,431","2,357",AZN
Depreciation/Amortization,"1,066","1,098",983,979,AZN
Restructuring Charge,735,73,234,161,AZN
Litigation,(114),775,0,0,AZN
Impair-Assets Held for Use,0,(69),--,--,AZN
Other Unusual Expnse (In),685,"1,174","1,064",841,AZN
Unusual Expense (Income),"1,007","1,953","1,298","1,002",AZN
Loss(Gain)/Sale Asts (Oper),(299),--,0,--,AZN
"Other, Net",152,(61),(17),(72),AZN
"Other Operat Expse, Total",152,(61),(17),(72),AZN
Total Operating Expense,"12,303","10,512","10,232","9,737",AZN
Total Operating Income,(292),878,539,"1,245",AZN
"Inter/Invest Inc, Non-Oper",(344),(325),(292),(323),AZN
Income Before Tax,(636),553,247,922,AZN
Income Tax - Total,(290),165,(113),(720),AZN
Income After Tax,(346),388,360,"1,642",AZN
Minority Interest,(1),(2),0,(2),AZN
Net Inc Before Extra Items,(347),386,360,"1,640",AZN
Total Net Income,(347),386,360,"1,640",AZN
Income Available to Common Excl. Extra. Items,(347),386,360,"1,640",AZN
Income Available to Common Incl. Extra. Items,(347),386,360,"1,640",AZN
Basic/Primary Weighted Average Shares,"1,550","1,548","1,549","1,548",AZN
Basic/Primary EPS Excl. Extra. Items,(0.22),0.25,0.23,1.06,AZN
Basic/Primary EPS Incl. Extra. Items,(0.22),0.25,0.23,1.06,AZN
Diluted Weighted Average Shares,"1,550","1,561","1,560","1,559",AZN
Diluted EPS Excl. Extra. Items,(0.22),0.25,0.23,1.05,AZN
Diluted EPS Incl. Extra. Items,(0.22),0.25,0.23,1.05,AZN
Div/Share-ComStockPrimIssue,--,0.00,0.00,0.00,AZN
Gross Divid - Common Stock,"2,464",0,--,--,AZN
Pro Forma Net Income,--,--,--,--,AZN
"Depreciat/Amort, Suppl",977,203,291,270,AZN
Total Special Items,"1,600","1,978","1,299","1,020",AZN
Normalzd Income Before Tax,964,"2,531","1,546","1,942",AZN
Efct/SpecItemsIncTxs (STEC),(307),416,398,"1,105",AZN
IncTxsExcl ImpctofSpec Itms,(597),581,285,385,AZN
Normalized Income After Tax,"1,561","1,950","1,261","1,557",AZN
Normalzd Inc Avail to Common,"1,560","1,948","1,261","1,555",AZN
Basic Normalized EPS,1.01,1.26,0.81,1.00,AZN
Diluted Normalized EPS,1.01,1.25,0.81,1.00,AZN
