items,2018,2019,2020,2021,2022,ticker
Net Income,"3,447","2,314","4,281","5,835","8,442",LOW
Depreciation/Depletion,"1,540","1,607","1,410","1,594","1,882",LOW
Deferred Taxes,53,(151),177,(108),135,LOW
Unusual Items,504,"1,582",117,"1,199",34,LOW
Equity in Net Earnings/Loss,(82),9,12,--,--,LOW
Other Non-Cash Items,99,74,566,634,747,LOW
Non-Cash Items,521,"1,665",695,"1,833",781,LOW
"Cash Taxes Pd, Supplemental","1,673","1,316","1,423","1,588","2,735",LOW
"Cash Interest Pd, Suppl",654,635,671,824,837,LOW
Inventories,(791),"(1,289)",(600),"(2,967)","(1,413)",LOW
Other Assets,250,(110),(376),326,(23),LOW
Accounts Payable,(92),"1,720",(637),"3,211",466,LOW
Changes in Working Capital,(496),758,"(2,255)","1,895","(1,127)",LOW
Total Cash from Operations,"5,065","6,193","4,308","11,049","10,113",LOW
Capital Expenditures,"(1,123)","(1,174)","(1,484)","(1,791)","(1,853)",LOW
Acquisition of Business,(509),--,--,--,--,LOW
Sale of Business,--,0,0,--,--,LOW
Sale of Fixed Assets,45,76,163,90,113,LOW
Sale/Maturity of Investment,"1,114","1,393",695,"2,926","3,293",LOW
"Investment, Net",0,0,--,--,--,LOW
Purchase of Investments,(981),"(1,373)",(743),"(3,094)","(3,065)",LOW
Other Investing Cash Flow,13,(2),0,(25),(134),LOW
"OtherInvestCashFlowItms,Tot",(318),94,115,(103),207,LOW
Total Cash from Investing,"(1,441)","(1,080)","(1,369)","(1,894)","(1,646)",LOW
Financing Cash Flow Items,(10),(5),(1),(38),(6),LOW
Total Cash Dividends Paid,"(1,288)","(1,455)","(1,618)","(1,704)","(1,984)",LOW
Sale/Issuance of Common,139,114,118,152,132,LOW
Repurch/Retirement Common,"(3,192)","(3,037)","(4,313)","(4,971)","(13,012)",LOW
"Iss (Retirmnt) of Stock,Net","(3,053)","(2,923)","(4,195)","(4,819)","(12,880)",LOW
"Short Term Debt, Net",625,(415),220,(941),0,LOW
Long Term Debt Issued,"2,968",0,"3,972","7,929","4,972",LOW
Long Term Debt Reduction,"(2,849)",(326),"(1,113)","(5,618)","(2,118)",LOW
"Long Term Debt, Net",119,(326),"2,859","2,311","2,854",LOW
"Iss (Retirmnt) of Debt, Net",744,(741),"3,079","1,370","2,854",LOW
Total Cash From Financing,"(3,607)","(5,124)","(2,735)","(5,191)","(12,016)",LOW
Foreign Exchange Effects,13,(12),1,10,(8),LOW
Net Change in Cash,30,(23),205,"3,974","(3,557)",LOW
NetCash-BeginBal/RsvdforFutUse,558,588,511,716,"4,690",LOW
NetCash-EndBal/RsrvforFutUse,588,565,716,"4,690","1,133",LOW
"Depreciation, Supplemental","1,540","1,607","1,410","1,594","1,882",LOW
