items,Q4 2022,Q1 2023,Q2 2023,Q3 2023,ticker
Cash and Short Term Invs,"1,133","3,414","1,482","3,192",LOW
Total Inventory,"17,605","20,239","19,329","19,817",LOW
Restricted Cash - Current,271,368,450,464,LOW
Other Current Assets,"1,051","1,590","1,406","1,518",LOW
"Other Curr. Assets, Total","1,322","1,958","1,856","1,982",LOW
Total Current Assets,"20,060","25,611","22,667","24,991",LOW
Prop./Plant/Equip. - Net,"23,179","23,021","22,871","20,787",LOW
"Goodwill, Gross","1,310",--,--,--,LOW
Accum. Goodwill Amort.,(999),--,--,--,LOW
"Goodwill, Net",311,--,--,--,LOW
Intangibles - Gross,742,--,--,--,LOW
Accum. Intangible Amort.,(220),--,--,--,LOW
Intangibles - Net,522,--,--,--,LOW
Def. Inc. Tax - LT Asset,164,33,104,301,LOW
Restricted Cash - LT,199,76,56,63,LOW
Other Long Term Assets,205,984,"1,027",831,LOW
Total Assets,"44,640","49,725","46,725","46,973",LOW
Accounts Payable,"11,354","13,831","12,631","12,249",LOW
Accrued Expenses,"2,197","1,829","1,879","2,056",LOW
Notes Payable/ST Debt,0,0,0,0,LOW
Curr. Port. LT Dbt/Cap Ls.,868,121,121,609,LOW
Customer Advances,"1,914","2,094","1,968","1,736",LOW
Other Current Liabilities,"3,335","3,956","3,767","4,226",LOW
"Other Curr. Lblts, Total","5,249","6,050","5,735","5,962",LOW
Total Current Liabilities,"19,668","21,831","20,366","20,876",LOW
Total Long Term Debt,"23,859","28,776","28,763","32,904",LOW
Total Debt,"24,727","28,897","28,884","33,513",LOW
"Other Liabilities, Total","5,929","5,995","6,038","6,061",LOW
Total Liabilities,"49,456","56,602","55,167","59,841",LOW
"Pref. Stock-Non Rdmbl, Net",0,0,0,0,LOW
Common Stock,335,326,316,305,LOW
Additional Paid-In Capital,0,0,0,0,LOW
Ret. Earn.(Accum. Deficit),"(5,115)","(7,367)","(8,895)","(13,313)",LOW
"Other Equity, Total",(36),164,137,140,LOW
Total Equity,"(4,816)","(6,877)","(8,442)","(12,868)",LOW
Total Liabilities & Shareholders’ Equity,"44,640","49,725","46,725","46,973",LOW
Ttl Comm. Shares Outs.,670,652,631,611,LOW
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,LOW
