items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,"70,767","84,463","78,821","83,356",JD
Short Term Investments,"114,564","96,096","122,223","128,449",JD
Cash and Short Term Invs,"185,331","180,559","201,044","211,805",JD
"Total Receivables, Net","17,400","16,515","19,520","24,222",JD
Total Inventory,"75,601","68,790","76,029","71,757",JD
Prepaid Expenses,"15,414","17,822","21,535","20,180",JD
Restricted Cash - Current,"5,926","5,543","5,743","6,433",JD
Discont. Ops.-Curr. Assets,--,--,120,--,JD
"Other Curr. Assets, Total","5,926","5,543","5,863","6,433",JD
Total Current Assets,"299,672","289,229","323,991","334,397",JD
Prop./Plant/Equip. - Net,"58,748","69,834","72,770","84,150",JD
"Goodwill, Net","12,433","18,560","18,560","23,123",JD
Intangibles - Net,"20,165","35,199","35,391","42,952",JD
LT Invt. - Affiliate Comp.,"63,222","56,902","55,893","58,947",JD
LT Investments - Other,"19,088","15,013","17,518","15,014",JD
Long Term Investments,"82,310","71,915","73,411","73,961",JD
Other Long Term Assets,"22,068","26,252","28,516","19,607",JD
Total Assets,"496,507","512,185","553,711","579,561",JD
Accounts Payable,"141,003","125,452","160,247","150,880",JD
Accrued Expenses,"41,133","39,522","43,348","47,671",JD
Notes Payable/ST Debt,"4,368","17,151","13,754","17,996",JD
Curr. Port. LT Dbt/Cap Ls.,0,--,--,--,JD
Customer Advances,"32,564","35,555","35,485","34,856",JD
Income Taxes Payable,"2,568","1,326","2,629","4,929",JD
Discontinued Operations,0,--,23,--,JD
"Other Curr. Lblts, Total","35,132","36,881","38,137","39,785",JD
Total Current Liabilities,"221,636","219,006","255,486","256,332",JD
Total Long Term Debt,"9,386","15,609","24,659","28,613",JD
Total Debt,"13,754","32,760","38,413","46,609",JD
Deferred Income Tax,"1,897","5,104","5,049","6,265",JD
Minority Interest,"37,873","49,345","50,612","58,973",JD
"Other Liabilities, Total","16,804","16,631","16,589","17,215",JD
Total Liabilities,"287,596","305,695","352,395","367,398",JD
Common Stock,0,--,--,--,JD
Additional Paid-In Capital,"182,578",--,--,--,JD
Ret. Earn.(Accum. Deficit),"35,391",--,--,--,JD
Treasury Stock - Common,"(2,968)",--,--,--,JD
Other Equity,0,"206,490","201,316","212,163",JD
Other Comprehensive Income,"(6,090)",--,--,--,JD
"Other Equity, Total","(6,090)","206,490","201,316","212,163",JD
Total Equity,"208,911","206,490","201,316","212,163",JD
Total Liabilities & Shareholders’ Equity,"496,507","512,185","553,711","579,561",JD
Shr Outs.-Com. Primary Iss.,"2,690","2,696","2,696","2,696",JD
Shr Outs.-Com. Stk. Iss. 2,420,428,428,428,JD
Ttl Comm. Shares Outs.,"3,111","3,123","3,123","3,123",JD
Trsy. Shrs-Comm. Primary Iss.,41,41,41,41,JD
Trsy. Shrs-Comm. Iss. 2,8,8,8,8,JD
