items,Q4 2022,Q1 2023,Q2 2023,Q3 2023,ticker
Cash and Short Term Invs,"6,227","4,295","3,531","3,365",TJX
"Trade Accts Recvble, Net",518,576,556,571,TJX
Other Receivables,115,54,112,142,TJX
"Total Receivables, Net",632,630,668,713,TJX
Total Inventory,"5,962","6,990","7,083","8,329",TJX
Prepaid Expenses,438,565,552,582,TJX
Total Current Assets,"13,259","12,480","11,835","12,989",TJX
Buildings,"3,652","3,615","3,667","3,744",TJX
Land/Improvements,"1,912","1,930","1,960","1,984",TJX
Other Prop./Plant/Equip.,"15,726","16,028","16,067","16,175",TJX
Prop./Plant/Equip. - Gross,"21,290","21,573","21,694","21,903",TJX
Accumulated Depreciation,"(7,165)","(7,217)","(7,318)","(7,345)",TJX
Prop./Plant/Equip. - Net,"14,125","14,356","14,376","14,558",TJX
"Goodwill, Net",97,97,97,95,TJX
Other Long Term Assets,796,599,611,613,TJX
Total Assets,"28,461","27,710","27,091","28,428",TJX
Accounts Payable,"4,465","4,371","4,085","4,993",TJX
Accrued Expenses,"5,822","5,387","5,500","5,658",TJX
Notes Payable/ST Debt,0,0,0,0,TJX
Curr. Port. LT Dbt/Cap Ls.,0,--,500,500,TJX
"Other Curr. Lblts, Total",181,261,62,83,TJX
Total Current Liabilities,"10,468","10,019","10,147","11,234",TJX
Total Long Term Debt,"3,355","3,356","2,857","2,858",TJX
Total Debt,"3,355","3,356","3,357","3,358",TJX
Deferred Income Tax,44,54,67,74,TJX
"Other Liabilities, Total","8,591","8,686","8,623","8,598",TJX
Total Liabilities,"22,458","22,114","21,694","22,764",TJX
"Pref. Stock-Non Rdmbl, Net",--,0,0,0,TJX
Common Stock,"1,181","1,173","1,162","1,156",TJX
Additional Paid-In Capital,0,0,0,0,TJX
Ret. Earn.(Accum. Deficit),"5,509","5,164","5,003","5,338",TJX
Cum. Trans. Adjustment,(488),(546),(577),(643),TJX
Min. Pension Lblty Adj.,(199),(195),(191),(187),TJX
Other Comprehensive Income,0,0,0,0,TJX
"Other Equity, Total",(687),(741),(768),(830),TJX
Total Equity,"6,003","5,595","5,397","5,665",TJX
Total Liabilities & Shareholders’ Equity,"28,461","27,710","27,091","28,428",TJX
Ttl Comm. Shares Outs.,"1,181","1,173","1,162","1,156",TJX
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,TJX
