items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Due from Banks,"8,337","10,541","10,682","11,962",SYF
Total Invest. Securities,"5,283","4,677","5,012","5,082",SYF
Loans Held for Sale,"4,361","4,046",0,0,SYF
"Other Erng. Assets, Total","9,644","8,723","5,012","5,082",SYF
Total Gross Loans,"80,740","78,916","82,674","86,012",SYF
Loan Loss Allowances,"(8,688)","(8,651)","(8,808)","(9,102)",SYF
Net Loans,"72,052","70,265","73,866","76,910",SYF
"Goodwill, Net","1,105","1,105","1,105","1,105",SYF
Intangibles - Gross,"3,204","3,278","3,110","3,113",SYF
Accum. Intangible Amort.,"(2,036)","(2,129)","(1,992)","(2,080)",SYF
Intangibles - Net,"1,168","1,149","1,118","1,033",SYF
"Other Assets, Total","3,442","3,484","3,417","4,674",SYF
Total Assets,"95,748","95,267","95,200","100,766",SYF
Accrued Expenses,"5,316","4,914","4,941","5,029",SYF
Non-Interest Bearing Dep.,359,395,381,372,SYF
Interest Bearing Deposits,"61,911","63,180","64,328","68,032",SYF
Total Deposits,"62,270","63,575","64,709","68,404",SYF
Total Long Term Debt,"14,507","13,360","12,157","14,321",SYF
Total Debt,"14,507","13,360","12,157","14,321",SYF
Total Liabilities,"82,093","81,849","81,807","87,754",SYF
"Pref. Stock-Non Rdmbl, Net",734,734,734,734,SYF
Common Stock,1,1,1,1,SYF
Additional Paid-In Capital,"9,669","9,643","9,663","9,685",SYF
Ret. Earn.(Accum. Deficit),"14,245","15,003","15,679","16,252",SYF
Treasury Stock - Common,"(10,925)","(11,842)","(12,535)","(13,473)",SYF
Unrealized Gain (Loss),4,(46),(73),(106),SYF
Cum. Trans. Adjustment,(26),(28),(30),(35),SYF
Min. Pension Lblty Adj.,(47),(47),(46),(46),SYF
"Other Equity, Total",(73),(75),(76),(81),SYF
Total Equity,"13,655","13,418","13,393","13,012",SYF
Total Liabilities & Shareholders’ Equity,"95,748","95,267","95,200","100,766",SYF
Ttl Comm. Shares Outs.,527,506,488,459,SYF
Trsy. Shrs-Comm. Primary Iss.,307,328,346,375,SYF
Trsry Shrs-Pref. Iss. 1,0,0,0,0,SYF
