items,Q1 2022,Q2 2022,Q3 2022,Q4 2022,ticker
Cash & Equivalents,"14,720","12,299","14,047","15,689",V
Short Term Investments,"1,201","1,230","3,309","2,833",V
Cash and Short Term Invs,"15,921","13,529","17,356","18,522",V
"Trade Accts Recvble, Net","2,168","2,135","2,021","2,020",V
Other Receivables,"1,788","1,632","1,860","1,932",V
"Total Receivables, Net","3,956","3,767","3,881","3,952",V
Prepaid Expenses,"1,092","1,269","1,462","1,771",V
Restricted Cash - Current,"3,603","4,217","4,949","4,688",V
Other Current Assets,"1,334","1,309","1,323","1,272",V
"Other Curr. Assets, Total","4,937","5,526","6,272","5,960",V
Total Current Assets,"25,906","24,091","28,971","30,205",V
Prop./Plant/Equip. - Net,"2,908","3,120","3,146","3,223",V
"Goodwill, Net","16,555","18,143","17,977","17,787",V
Intangibles - Net,"27,272","27,006","26,093","25,065",V
Long Term Investments,"2,087","2,296","2,240","2,136",V
Other Long Term Assets,"7,201","7,152","6,983","7,085",V
Total Assets,"81,929","81,808","85,410","85,501",V
Accounts Payable,252,182,228,340,V
Accrued Expenses,"4,717","4,818","5,895","6,541",V
Notes Payable/ST Debt,0,0,0,0,V
Curr. Port. LT Dbt/Cap Ls.,"3,247","3,548","3,249","2,250",V
Other Payables,"2,774","2,409","3,068","3,281",V
Other Current Liabilities,"7,578","7,745","7,869","8,441",V
"Other Curr. Lblts, Total","10,352","10,154","10,937","11,722",V
Total Current Liabilities,"18,568","18,702","20,309","20,853",V
Total Long Term Debt,"17,673","17,479","20,546","20,200",V
Total Debt,"20,920","21,027","23,795","22,450",V
Deferred Income Tax,"6,078","6,081","5,685","5,332",V
"Other Liabilities, Total","3,416","3,557","3,387","3,535",V
Total Liabilities,"45,735","45,819","49,927","49,920",V
"Pref. Stock-Non Rdmbl, Net","2,995","2,987","2,851","2,324",V
Common Stock,0,0,0,0,V
Additional Paid-In Capital,"18,776","18,876","18,962","19,545",V
Ret. Earn.(Accum. Deficit),"14,606","14,651","14,960","16,116",V
Unrealized Gain (Loss),(9),(41),(74),(106),V
Cum. Trans. Adjustment,155,(180),"(1,280)","(2,512)",V
Other Equity,(111),(120),(23),(35),V
Min. Pension Lblty Adj.,(47),(48),(48),(169),V
Other Comprehensive Income,(171),(136),135,418,V
"Other Equity, Total",(174),(484),"(1,216)","(2,298)",V
Total Equity,"36,194","35,989","35,483","35,581",V
Total Liabilities & Shareholders’ Equity,"81,929","81,808","85,410","85,501",V
Shr Outs.-Com. Primary Iss.,"1,661","1,648","1,637","1,635",V
Shr Outs.-Com. Stk. Iss. 2,10,10,10,10,V
Shr Outs.-Com. Stk. Iss. 3,245,245,245,245,V
Ttl Comm. Shares Outs.,"2,094","2,081","2,070","2,068",V
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,V
Trsy. Shrs-Comm. Iss. 2,0,0,0,0,V
Trsy. Shrs-Comm. Iss. 3,0,0,0,0,V
Shrs Out-Pref Primary Iss.,2,2,2,2,V
Shrs Out-Pref Stk Iss. 2,3,3,3,3,V
Trsry Shrs-Pref. Iss. 1,0,0,0,0,V
Trsry Shrs-Pref. Iss. 2,0,0,0,0,V
