items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash and Short Term Invs,"1,527","1,296",879,774,ITW
"Total Receivables, Net","2,840","3,126","3,109","3,031",ITW
Invent. - Finished Goods,888,981,"1,028","1,047",ITW
Invent. - Work In Progress,208,248,242,250,ITW
Invent. - Raw Materials,716,775,835,849,ITW
LIFO Reserve,(118),(121),(130),(139),ITW
Total Inventory,"1,694","1,883","1,975","2,007",ITW
Prepaid Expenses,313,377,305,281,ITW
"Other Curr. Assets, Total",--,--,103,103,ITW
Total Current Assets,"6,374","6,682","6,371","6,196",ITW
Prop./Plant/Equip. - Net,"1,809","1,795","1,736","1,705",ITW
"Goodwill, Net","4,965","5,008","4,870","4,759",ITW
Intangibles - Net,972,875,832,798,ITW
Other Long Term Assets,"1,405","1,380","1,359","1,320",ITW
Total Assets,"16,077","16,286","15,666","15,226",ITW
Accounts Payable,585,696,679,618,ITW
Accrued Expenses,"1,648","1,541","1,562","1,559",ITW
Notes Payable/ST Debt,210,"1,000","1,000","1,200",ITW
Curr. Port. LT Dbt/Cap Ls.,568,41,525,488,ITW
Dividends Payable,382,380,378,402,ITW
Income Taxes Payable,77,200,120,97,ITW
Discontinued Operations,--,--,30,28,ITW
"Other Curr. Lblts, Total",459,580,528,527,ITW
Total Current Liabilities,"3,470","3,858","4,294","4,392",ITW
Total Long Term Debt,"6,909","6,817","6,115","5,940",ITW
Total Debt,"7,687","7,858","7,640","7,628",ITW
Deferred Income Tax,654,627,632,655,ITW
Minority Interest,1,1,1,1,ITW
"Other Liabilities, Total","1,418","1,402","1,246","1,225",ITW
Total Liabilities,"12,452","12,705","12,288","12,213",ITW
Common Stock,6,6,6,6,ITW
Additional Paid-In Capital,"1,432","1,447","1,464","1,479",ITW
Ret. Earn.(Accum. Deficit),"24,325","24,607","24,967","25,292",ITW
Treasury Stock - Common,"(20,636)","(21,008)","(21,382)","(21,882)",ITW
Cum. Trans. Adjustment,5,26,(184),(394),ITW
Min. Pension Lblty Adj.,135,5,9,14,ITW
Other Comprehensive Income,"(1,642)","(1,502)","(1,502)","(1,502)",ITW
"Other Equity, Total","(1,502)","(1,471)","(1,677)","(1,882)",ITW
Total Equity,"3,625","3,581","3,378","3,013",ITW
Total Liabilities & Shareholders’ Equity,"16,077","16,286","15,666","15,226",ITW
Ttl Comm. Shares Outs.,313,311,310,307,ITW
Trsy. Shrs-Comm. Primary Iss.,237,239,240,243,ITW
