items,2018,2019,2020,2021,2022,ticker
Net Income,"1,933","4,029","2,539","5,727","6,046",NKE
Depreciation/Depletion,747,705,721,744,717,NKE
Amortization,27,15,--,53,123,NKE
Deferred Taxes,647,34,(380),(385),(650),NKE
Unusual Items,(99),233,421,(138),(26),NKE
Other Non-Cash Items,218,325,429,611,638,NKE
Non-Cash Items,119,558,850,473,612,NKE
"Cash Taxes Pd, Supplemental",529,757,"1,028","1,177","1,231",NKE
"Cash Interest Pd, Suppl",125,153,140,293,290,NKE
Accounts Receivable,187,(270),"1,239","(1,606)",(504),NKE
Inventories,(255),(490),"(1,854)",507,"(1,676)",NKE
Prepaid Expenses,35,(203),(654),(182),(845),NKE
Payable/Accrued,"1,515","1,525",24,"1,326","1,365",NKE
Changes in Working Capital,"1,482",562,"(1,245)",45,"(1,660)",NKE
Total Cash from Operations,"4,955","5,903","2,485","6,657","5,188",NKE
Capital Expenditures,"(1,028)","(1,119)","(1,086)",(695),(758),NKE
Sale of Fixed Assets,3,5,--,--,--,NKE
Sale/Maturity of Investment,"6,109","3,787","2,453","6,685","12,166",NKE
Purchase of Investments,"(4,783)","(2,937)","(2,426)","(9,961)","(12,913)",NKE
Other Investing Cash Flow,(25),0,31,171,(19),NKE
"OtherInvestCashFlowItms,Tot","1,304",855,58,"(3,105)",(766),NKE
Total Cash from Investing,276,(264),"(1,028)","(3,800)","(1,524)",NKE
Financing Cash Flow Items,(55),(17),(58),(136),(151),NKE
Total Cash Dividends Paid,"(1,243)","(1,332)","(1,452)","(1,638)","(1,837)",NKE
"Common Stock, Net","(4,254)","(4,286)","(3,067)",(608),"(4,014)",NKE
Options Exercised,733,700,885,"1,172","1,151",NKE
"Iss (Retirmnt) of Stock,Net","(3,521)","(3,586)","(2,182)",564,"(2,863)",NKE
"Short Term Debt, Net",13,(325),49,(52),15,NKE
Long Term Debt Issued,0,0,"6,134",0,0,NKE
Long Term Debt Reduction,(29),(33),--,(197),0,NKE
"Long Term Debt, Net",(29),(33),"6,134",(197),0,NKE
"Iss (Retirmnt) of Debt, Net",(16),(358),"6,183",(249),15,NKE
Total Cash From Financing,"(4,835)","(5,293)","2,491","(1,459)","(4,836)",NKE
Foreign Exchange Effects,45,(129),(66),143,(143),NKE
Net Change in Cash,441,217,"3,882","1,541","(1,315)",NKE
NetCash-BeginBal/RsvdforFutUse,"3,808","4,249","4,466","8,348","9,889",NKE
NetCash-EndBal/RsrvforFutUse,"4,249","4,466","8,348","9,889","8,574",NKE
"Depreciation, Supplemental",747,705,721,744,717,NKE
