items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,"4,827","6,215","4,390","4,529",INTC
Short Term Investments,"24,426","32,481","22,654","18,030",INTC
Cash and Short Term Invs,"29,253","38,696","27,044","22,559",INTC
"Total Receivables, Net","9,457","7,074","6,063","7,469",INTC
Invent. - Finished Goods,"2,679","3,411","4,423","4,166",INTC
Invent. - Work In Progress,"6,656","6,928","6,164","7,030",INTC
Invent. - Raw Materials,"1,441","1,596","1,587","1,635",INTC
Total Inventory,"10,776","11,935","12,174","12,831",INTC
Discont. Ops.-Curr. Assets,"6,942",236,32,56,INTC
Other Current Assets,"2,130","4,627","5,275","6,348",INTC
"Other Curr. Assets, Total","9,072","4,863","5,307","6,404",INTC
Total Current Assets,"58,558","62,568","50,588","49,263",INTC
Prop./Plant/Equip. - Gross,"148,539","153,814","160,823","167,180",INTC
Accumulated Depreciation,"(85,294)","(87,096)","(89,163)","(91,417)",INTC
Prop./Plant/Equip. - Net,"63,245","66,718","71,660","75,763",INTC
"Goodwill, Net","26,963","27,011","27,587","27,591",INTC
Intangibles - Net,"7,270","6,813","6,427","6,268",INTC
Long Term Investments,"6,298","6,036","5,929","5,822",INTC
Other Long Term Assets,"6,072","7,210","8,227","10,134",INTC
Total Assets,"168,406","176,356","170,418","174,841",INTC
Accounts Payable,"5,747","7,210","7,945","7,133",INTC
Accrued Expenses,"17,124","17,653","16,391","18,397",INTC
Notes Payable/ST Debt,0,0,0,0,INTC
Curr. Port. LT Dbt/Cap Ls.,"4,591","4,459","2,882","2,283",INTC
Total Current Liabilities,"27,462","29,322","27,218","27,813",INTC
Total Long Term Debt,"33,510","32,788","32,548","37,240",INTC
Total Debt,"38,101","37,247","35,430","39,523",INTC
Deferred Income Tax,"2,667","1,547",572,361,INTC
"Other Liabilities, Total","9,376","9,563","8,862","9,542",INTC
Total Liabilities,"73,015","73,220","69,200","74,956",INTC
Common Stock,4,4,4,4,INTC
Additional Paid-In Capital,"28,002","29,240","29,854","30,908",INTC
Ret. Earn.(Accum. Deficit),"68,265","74,894","72,985","71,024",INTC
Cum. Trans. Adjustment,23,(2),(7),(7),INTC
Min. Pension Lblty Adj.,"(1,114)","(1,096)","(1,087)","(1,077)",INTC
Other Comprehensive Income,211,96,(531),(967),INTC
"Other Equity, Total",(880),"(1,002)","(1,625)","(2,051)",INTC
Total Equity,"95,391","103,136","101,218","99,885",INTC
Total Liabilities & Shareholders’ Equity,"168,406","176,356","170,418","174,841",INTC
Ttl Comm. Shares Outs.,"4,070","4,089","4,106","4,127",INTC
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,INTC
