items,2018,2019,2020,2021,2022,ticker
Cash,423,461,655,--,--,VMW
Cash & Equivalents,"5,548","2,369","2,260","4,692","3,614",VMW
Short Term Investments,"5,682",19,0,23,19,VMW
Cash and Short Term Invs,"11,653","2,849","2,915","4,715","3,633",VMW
"Trade Accts Recvble, Gross","1,396","1,578","1,890","1,934","2,307",VMW
Prov. for Doubtful Accts,(2),(2),(7),(5),(10),VMW
"Trade Accts Recvble, Net","1,421","1,600","1,909","1,972","2,333",VMW
Other Receivables,532,937,"1,457","1,438","1,438",VMW
"Total Receivables, Net","1,953","2,537","3,366","3,410","3,771",VMW
Restricted Cash - Current,--,--,83,56,43,VMW
Other Current Assets,230,265,327,431,519,VMW
"Other Curr. Assets, Total",230,265,410,487,562,VMW
Total Current Assets,"13,836","5,651","6,691","8,612","7,966",VMW
Buildings,--,951,"1,088","1,137","1,170",VMW
Machinery/Equipment,--,"1,419","1,404","1,620","1,729",VMW
Construction in Progress,--,55,106,82,179,VMW
Other Prop./Plant/Equip.,--,109,"1,006","1,129","1,196",VMW
Prop./Plant/Equip. - Gross,--,"2,534","3,604","3,968","4,274",VMW
Accumulated Depreciation,--,"(1,401)","(1,438)","(1,637)","(1,751)",VMW
Prop./Plant/Equip. - Net,"1,074","1,133","2,166","2,331","2,523",VMW
"Goodwill, Net","4,597","5,381","9,329","9,599","9,598",VMW
Intangibles - Gross,"1,151","1,216","1,922","1,828","1,688",VMW
Accum. Intangible Amort.,(603),(675),(750),(835),(974),VMW
Intangibles - Net,548,541,"1,172",993,714,VMW
Long Term Investments,--,--,159,139,163,VMW
Note Rcvble - Long Term,--,--,--,--,199,VMW
Deferred Charges,638,756,938,"1,100","1,200",VMW
Def. Inc. Tax - LT Asset,227,103,"5,556","5,781","5,906",VMW
Restricted Cash - LT,--,--,33,22,6,VMW
Other Long Term Assets,286,"1,097",250,439,401,VMW
Total Assets,"21,206","14,662","26,294","29,016","28,676",VMW
Accounts Payable,15,135,208,131,234,VMW
Accrued Expenses,"1,357",939,"1,022","1,593","1,769",VMW
Notes Payable/ST Debt,0,0,0,0,0,VMW
Curr. Port. LT Dbt/Cap Ls.,--,--,"2,751",5,5,VMW
Customer Advances,"3,438","4,206","5,465","6,167","6,949",VMW
Other Payables,--,--,--,--,132,VMW
Other Current Liabilities,--,416,878,490,562,VMW
"Other Curr. Lblts, Total","3,438","4,622","6,343","6,657","7,643",VMW
Total Current Liabilities,"4,810","5,696","10,324","8,386","9,651",VMW
Long Term Debt,"4,234","4,242","3,001","4,987","12,671",VMW
Capital Lease Obligations,--,--,55,50,43,VMW
Total Long Term Debt,"4,234","4,242","3,056","5,037","12,714",VMW
Total Debt,"4,234","4,242","5,807","5,042","12,719",VMW
Minority Interest,--,--,0,--,--,VMW
"Other Liabilities, Total","3,538","4,173","5,905","6,542","7,187",VMW
Total Liabilities,"12,582","14,111","19,285","19,965","29,552",VMW
Common Stock,4,4,4,4,4,VMW
Additional Paid-In Capital,844,531,"2,000","1,985",0,VMW
Ret. Earn.(Accum. Deficit),"7,791",14,"5,009","7,067",(875),VMW
Cum. Trans. Adjustment,(15),1,(1),(4),(4),VMW
Other Comprehensive Income,0,1,(3),(1),(1),VMW
"Other Equity, Total",(15),2,(4),(5),(5),VMW
Total Equity,"8,624",551,"7,009","9,051",(876),VMW
Total Liabilities & Shareholders’ Equity,"21,206","14,662","26,294","29,016","28,676",VMW
Shr Outs.-Com. Primary Iss.,104,111,110,112,419,VMW
Shr Outs.-Com. Stk. Iss. 2,300,300,307,307,0,VMW
Ttl Comm. Shares Outs.,404,411,418,419,419,VMW
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,0,VMW
Trsy. Shrs-Comm. Iss. 2,0,0,0,0,0,VMW
