items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash,"8,394","9,086","7,666","6,836",MS
Cash & Equivalents,"119,331","127,000","123,620","104,860",MS
Cash and Short Term Invs,"127,725","136,086","131,286","111,696",MS
"Total Receivables, Net","96,018","94,804","82,759","87,935",MS
Total Current Assets,--,--,--,--,MS
Prop./Plant/Equip. - Net,"4,268",--,--,--,MS
"Goodwill, Net","16,833","16,825","16,757","16,721",MS
Intangibles - Gross,"8,477","12,216","12,164","12,143",MS
Accum. Intangible Amort.,(117),"(3,972)","(4,118)","(4,250)",MS
Intangibles - Net,"8,360","8,244","8,046","7,893",MS
LT Invt. - Affiliate Comp.,"2,214","2,138","1,965","1,881",MS
LT Investments - Other,"727,579","746,436","703,572","700,059",MS
Long Term Investments,"729,793","748,574","705,537","701,940",MS
Note Rcvble - Long Term,"188,134","196,260","206,482","210,936",MS
"Other Assets, Total","17,009","21,440","22,909","22,908",MS
Total Assets,"1,188,140","1,222,233","1,173,776","1,160,029",MS
Accounts Payable,"226,521","240,950","231,107","226,062",MS
Accrued Expenses,"7,321","2,659","2,900","3,401",MS
Notes Payable/ST Debt,"422,061","435,130","427,112","411,353",MS
Curr. Port. LT Dbt/Cap Ls.,"5,764","4,146","4,198","4,062",MS
Total Current Liabilities,--,--,--,--,MS
Total Long Term Debt,"227,363","225,671","221,979","216,361",MS
Total Debt,"655,188","664,947","653,289","631,776",MS
Minority Interest,"1,157","1,174","1,066","1,078",MS
"Other Liabilities, Total","192,512","209,602","183,818","196,701",MS
Total Liabilities,"1,082,699","1,119,332","1,072,180","1,059,018",MS
Redeemable Preferred Stock,"7,750","7,750","7,750","8,750",MS
Common Stock,20,20,20,20,MS
Additional Paid-In Capital,"28,841","28,007","28,394","28,893",MS
Ret. Earn.(Accum. Deficit),"89,432","91,722","92,889","94,055",MS
Treasury Stock - Common,"(17,500)","(19,696)","(22,436)","(24,949)",MS
ESOP Debt Guarantee,0,0,0,0,MS
Unrealized Gain (Loss),245,"(2,150)","(3,226)","(4,533)",MS
Cum. Trans. Adjustment,"(1,002)","(1,050)","(1,226)","(1,433)",MS
Min. Pension Lblty Adj.,(551),(546),(543),(538),MS
Other Comprehensive Income,"(1,794)","(1,156)",(26),746,MS
"Other Equity, Total","(3,347)","(2,752)","(1,795)","(1,225)",MS
Total Equity,"105,441","102,901","101,596","101,011",MS
Total Liabilities & Shareholders’ Equity,"1,188,140","1,222,233","1,173,776","1,160,029",MS
Ttl Comm. Shares Outs.,"1,772","1,756","1,723","1,694",MS
Trsy. Shrs-Comm. Primary Iss.,267,283,316,345,MS
Shrs Out-Pref Primary Iss.,0,0,0,0,MS
Shrs Out-Pref Stk Iss. 4,1,1,1,1,MS
Shrs Out-Pref Stk Iss. 5,0,--,--,--,MS
Shrs Out-Pref Stk Iss. 6,0,0,0,0,MS
Trsry Shrs-Pref. Iss. 1,0,0,0,0,MS
Trsry Shrs-Pref. Iss. 4,0,0,0,0,MS
Trsry Shrs-Pref. Iss. 5,0,--,--,--,MS
Trsry Shrs-Pref. Iss. 6,0,0,0,0,MS
