items,2017,2018,2019,2020,2021,ticker
Net Income,"3,843","3,750","4,807","4,572","6,095",ELV
Depreciation/Depletion,890,"1,132","1,133","1,154","1,302",ELV
Deferred Taxes,"(1,272)",91,81,(540),326,ELV
Unusual Items,331,50,52,198,73,ELV
Other Non-Cash Items,170,226,294,283,276,ELV
Non-Cash Items,501,276,346,481,349,ELV
"Cash Taxes Pd, Supplemental","1,503",738,"1,403","1,790","1,299",ELV
"Cash Interest Pd, Suppl",778,728,755,794,822,ELV
Other Assets,(665),(27),(218),(315),(33),ELV
Accounts Payable,732,"(1,059)","1,826","3,528","2,597",ELV
Payable/Accrued,922,122,(593),"1,978",719,ELV
Changes in Working Capital,223,"(1,422)",(306),"5,021",292,ELV
Total Cash from Operations,"4,185","3,827","6,061","10,688","8,364",ELV
Capital Expenditures,(800),"(1,208)","(1,077)","(1,021)","(1,087)",ELV
Acquisition of Business,"(2,080)","(1,760)",0,"(1,976)","(3,476)",ELV
Sale of Fixed Assets,9,0,--,--,--,ELV
Sale/Maturity of Investment,"13,461","11,600","21,035","16,059","14,613",ELV
Purchase of Investments,"(16,375)","(9,671)","(22,954)","(19,492)","(18,669)",ELV
Other Investing Cash Flow,701,(220),204,(894),"(1,019)",ELV
"OtherInvestCashFlowItms,Tot","(4,283)",(51),"(1,715)","(6,303)","(8,551)",ELV
Total Cash from Investing,"(5,082)","(1,259)","(2,792)","(7,324)","(9,638)",ELV
Financing Cash Flow Items,(671),69,(338),"1,209",505,ELV
Total Cash Dividends Paid,(705),(776),(818),(954),"(1,104)",ELV
"Common Stock, Net","(1,998)","(1,685)","(1,701)","(2,700)","(1,900)",ELV
Options Exercised,226,"1,424",186,176,203,ELV
"Iss (Retirmnt) of Stock,Net","(1,772)",(261),"(1,515)","(2,524)","(1,697)",ELV
Short Term Debt Issued,--,23,--,--,--,ELV
Short Term Debt Reduction,"(5,149)","(9,250)","(8,069)","(1,670)","(1,050)",ELV
"Short Term Debt, Net",757,(317),(648),(700),275,ELV
Long Term Debt Issued,"5,458",835,"2,473","2,484","3,462",ELV
Long Term Debt Reduction,"(2,815)","(1,684)","(1,123)","(1,932)","(1,068)",ELV
"Long Term Debt, Net","2,817",(956),"1,053",402,"2,444",ELV
"Iss (Retirmnt) of Debt, Net","3,574","(1,273)",405,(298),"2,719",ELV
Total Cash From Financing,427,"(2,241)","(2,266)","(2,567)",423,ELV
Foreign Exchange Effects,4,(2),0,7,(10),ELV
Net Change in Cash,(466),325,"1,003",804,(861),ELV
NetCash-BeginBal/RsvdforFutUse,"4,075","3,609","3,934","4,937","5,741",ELV
NetCash-EndBal/RsrvforFutUse,"3,609","3,934","4,937","5,741","4,880",ELV
"Depreciation, Supplemental",890,"1,132","1,133","1,154","1,302",ELV
