items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Total Revenue,"8,000","7,328","7,779","6,916",PARAA
"Cost of Revenue, Total","5,452","4,796","5,106","4,460",PARAA
"Sell/Gen/AdminExpenses,Tot","1,991","1,619","1,710","1,670",PARAA
Depreciation/Amortization,101,96,94,92,PARAA
Restructuring Charge,19,18,10,85,PARAA
Other Unusual Expnse (In),0,112,87,84,PARAA
Unusual Expense (Income),"(2,208)",115,97,128,PARAA
Loss(Gain)/Sale Asts (Oper),"(2,227)",(15),0,(41),PARAA
Total Operating Expense,"5,336","6,626","7,007","6,350",PARAA
Total Operating Income,"2,664",702,772,566,PARAA
"Inter Expse,Net Non-Operat",(241),(240),(230),(231),PARAA
"Inter Income, Non-Operating",16,21,19,33,PARAA
"Invest Income, Non-Operat",(12),1,(24),(30),PARAA
"Inter/Invest Inc, Non-Oper",4,22,(5),3,PARAA
OtherNon-OperatInc (Expnse),(10),(14),(18),(15),PARAA
"Other, Net",(10),(14),(18),(15),PARAA
Income Before Tax,"2,417",470,519,323,PARAA
Income Tax - Total,334,34,129,101,PARAA
Income After Tax,"2,083",436,390,222,PARAA
Minority Interest,(50),(8),(3),(11),PARAA
Equity In Affiliates,(11),(37),(29),(58),PARAA
Net Inc Before Extra Items,"2,022",391,358,153,PARAA
Discontinued Operations,46,54,80,105,PARAA
Tax on Extraordinary Items,(10),(12),(19),(27),PARAA
Total Extraordinary Items,36,42,61,78,PARAA
Total Net Income,"2,058",433,419,231,PARAA
Total Adjust to Net Income,(14),(14),(14),(14),PARAA
Income Available to Common Excl. Extra. Items,"2,008",377,344,139,PARAA
Income Available to Common Incl. Extra. Items,"2,044",419,405,217,PARAA
Basic/Primary Weighted Average Shares,650,649,649,649,PARAA
Basic/Primary EPS Excl. Extra. Items,3.09,0.58,0.53,0.21,PARAA
Basic/Primary EPS Incl. Extra. Items,3.14,0.65,0.62,0.33,PARAA
Diluted Weighted Average Shares,688,651,650,650,PARAA
Diluted EPS Excl. Extra. Items,2.92,0.58,0.53,0.21,PARAA
Diluted EPS Incl. Extra. Items,2.97,0.64,0.62,0.33,PARAA
Div/Share-ComStockPrimIssue,0.24,0.24,0.24,0.24,PARAA
Gross Divid - Common Stock,157,159,159,159,PARAA
Pro Forma Net Income,--,--,--,--,PARAA
"Interest Expense, Suppl",241,240,230,231,PARAA
"Depreciat/Amort, Suppl",101,96,94,92,PARAA
Total Special Items,"(2,208)",115,97,128,PARAA
Normalzd Income Before Tax,209,585,616,451,PARAA
Efct/SpecItemsIncTxs (STEC),(305),8,24,40,PARAA
IncTxsExcl ImpctofSpec Itms,29,42,153,141,PARAA
Normalized Income After Tax,180,543,463,310,PARAA
Normalzd Inc Avail to Common,105,484,417,227,PARAA
Basic Normalized EPS,0.16,0.75,0.64,0.35,PARAA
Diluted Normalized EPS,0.15,0.74,0.64,0.35,PARAA
