items,2017,2018,2019,2020,2021,ticker
Net Income,"3,915","5,859","8,118","6,411","8,687",MA
Depreciation/Depletion,437,459,522,580,726,MA
Deferred Taxes,86,(244),(7),73,(69),MA
Unusual Items,167,0,(167),(30),(645),MA
Other Non-Cash Items,"1,236","1,462","1,415","1,340","1,680",MA
Non-Cash Items,"1,403","1,462","1,248","1,310","1,035",MA
"Cash Taxes Pd, Supplemental","1,893","1,790","1,644","1,349","1,820",MA
"Cash Interest Pd, Suppl",135,153,199,311,399,MA
Accounts Receivable,(734),"(1,515)",(892),"1,200",(94),MA
Prepaid Expenses,"(1,402)","(1,769)","(1,661)","(1,552)","(2,087)",MA
Accounts Payable,684,950,435,"(1,216)",(468),MA
Accrued Expenses,577,"1,308",(5),(187),"1,354",MA
Changes in Working Capital,(177),"(1,313)","(1,698)","(1,150)",(916),MA
Total Cash from Operations,"5,664","6,223","8,183","7,224","9,463",MA
Purchase of Fixed Assets,(300),(330),(422),(339),(407),MA
Purchase/Acq of Intangibles,(123),(174),(306),(369),(407),MA
Capital Expenditures,(423),(504),(728),(708),(814),MA
Acquisition of Business,"(1,175)",0,"(1,440)",(989),"(4,436)",MA
Sale/Maturity of Investment,"1,824","1,912","1,857",622,856,MA
"Investment, Net",--,--,--,(175),0,MA
Purchase of Investments,"(2,006)","(1,900)","(1,325)",(632),(911),MA
Other Investing Cash Flow,(1),(14),(4),3,33,MA
"OtherInvestCashFlowItms,Tot","(1,358)",(2),(912),"(1,171)","(4,458)",MA
Total Cash from Investing,"(1,781)",(506),"(1,640)","(1,879)","(5,272)",MA
Financing Cash Flow Items,(53),(84),(375),(130),(345),MA
Total Cash Dividends Paid,(942),"(1,044)","(1,345)","(1,605)","(1,741)",MA
"Common Stock, Net","(3,762)","(4,933)","(6,497)","(4,473)","(5,904)",MA
Options Exercised,57,104,126,97,61,MA
"Iss (Retirmnt) of Stock,Net","(3,705)","(4,829)","(6,371)","(4,376)","(5,843)",MA
Long Term Debt Issued,0,991,"2,724","3,959","2,024",MA
Long Term Debt Reduction,(64),0,(500),0,(650),MA
"Iss (Retirmnt) of Debt, Net",(64),991,"2,224","3,959","1,374",MA
Total Cash From Financing,"(4,764)","(4,966)","(5,867)","(2,152)","(6,555)",MA
Foreign Exchange Effects,200,(6),(44),257,(153),MA
Net Change in Cash,(681),745,632,"3,450","(2,517)",MA
NetCash-BeginBal/RsvdforFutUse,"8,273","7,592","8,337","8,969","12,419",MA
NetCash-EndBal/RsrvforFutUse,"7,592","8,337","8,969","12,419","9,902",MA
"Depreciation, Supplemental",437,459,522,580,726,MA
