items,2018,2019,2020,2021,2022,ticker
Cash and Short Term Invs,"2,500","3,234","4,645","5,886","5,200",FOXA
"Trade Accts Recvble, Gross","1,861","2,002","1,981","2,106","2,182",FOXA
Prov. for Doubtful Accts,(28),(35),(93),(77),(54),FOXA
"Total Receivables, Net","1,833","1,967","1,888","2,029","2,128",FOXA
Total Inventory,"1,180","1,129",856,729,791,FOXA
"Other Curr. Assets, Total",67,148,97,105,162,FOXA
Total Current Assets,"5,580","6,478","7,486","8,749","8,281",FOXA
Buildings,"1,143","1,319","1,300","1,319","1,284",FOXA
Land/Improvements,126,123,126,204,199,FOXA
Machinery/Equipment,"1,558","1,516","1,575","1,652","1,743",FOXA
Construction in Progress,--,122,310,265,185,FOXA
Other Prop./Plant/Equip.,--,--,539,469,477,FOXA
Prop./Plant/Equip. - Gross,"2,827","3,080","3,850","3,909","3,888",FOXA
Accumulated Depreciation,"(1,658)","(1,767)","(1,813)","(1,732)","(1,729)",FOXA
Prop./Plant/Equip. - Net,"1,169","1,313","2,037","2,177","2,159",FOXA
"Goodwill, Net","2,747","2,691","3,409","3,435","3,554",FOXA
Intangibles - Gross,--,--,--,"3,382",--,FOXA
Accum. Intangible Amort.,--,--,--,(228),(292),FOXA
Intangibles - Net,"2,866","2,851","3,198","3,154","3,157",FOXA
LT Invt. - Affiliate Comp.,257,761,--,--,--,FOXA
LT Investments - Other,18,865,618,899,578,FOXA
Long Term Investments,275,"1,626",618,899,578,FOXA
Pension Bene. - Overfunded,265,455,195,--,--,FOXA
Def. Inc. Tax - LT Asset,--,"4,651","4,358","3,822","3,440",FOXA
Other Long Term Assets,219,(556),449,690,"1,016",FOXA
Total Assets,"13,121","19,509","21,750","22,926","22,185",FOXA
Accounts Payable,380,514,485,659,686,FOXA
Accrued Expenses,530,835,"1,029","1,169","1,099",FOXA
Notes Payable/ST Debt,0,0,0,0,0,FOXA
Curr. Port. LT Dbt/Cap Ls.,--,--,--,749,0,FOXA
Customer Advances,147,169,152,196,209,FOXA
Income Taxes Payable,553,6,--,--,--,FOXA
Other Current Liabilities,149,188,240,229,302,FOXA
"Other Curr. Lblts, Total",849,363,392,425,511,FOXA
Total Current Liabilities,"1,759","1,712","1,906","3,002","2,296",FOXA
Total Long Term Debt,0,"6,751","7,946","7,202","7,206",FOXA
Total Debt,0,"6,751","7,946","7,951","7,206",FOXA
Deferred Income Tax,"1,071",0,--,--,--,FOXA
Minority Interest,275,200,322,263,224,FOXA
Pension Benefits - Underfunded,244,543,709,586,447,FOXA
Other LT Liabilities,178,356,773,750,673,FOXA
"Other Liabilities, Total",422,899,"1,482","1,336","1,120",FOXA
Total Liabilities,"3,527","9,562","11,656","11,803","10,846",FOXA
Common Stock,"9,513",7,6,6,6,FOXA
Additional Paid-In Capital,--,"9,891","9,831","9,453","9,098",FOXA
Ret. Earn.(Accum. Deficit),--,357,674,"1,982","2,461",FOXA
Unrealized Gain (Loss),--,0,--,--,--,FOXA
Min. Pension Lblty Adj.,--,(308),--,(318),(226),FOXA
Other Comprehensive Income,81,--,(417),--,--,FOXA
"Other Equity, Total",81,(308),(417),(318),(226),FOXA
Total Equity,"9,594","9,947","10,094","11,123","11,339",FOXA
Total Liabilities & Shareholders’ Equity,"13,121","19,509","21,750","22,926","22,185",FOXA
Shr Outs.-Com. Primary Iss.,354,354,344,324,307,FOXA
Shr Outs.-Com. Stk. Iss. 2,266,266,261,252,243,FOXA
Ttl Comm. Shares Outs.,621,621,605,576,551,FOXA
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,0,FOXA
Trsy. Shrs-Comm. Iss. 2,0,0,0,0,0,FOXA
