items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Due from Banks,"251,397","256,896","270,427","288,657",C
Fed. Fund/Resale,"327,288","345,410","361,334","349,214",C
Trading Account Assets,"331,945","357,997","340,875","358,260",C
Other Short Trm Invest.,"1,032",957,"1,046",850,C
Securities Held,"103,493","110,844","130,598","130,881",C
Securities for Sale,"408,297","402,801","382,234","376,285",C
Total Invest. Securities,"511,790","513,645","512,832","507,166",C
"Other Erng. Assets, Total","1,172,055","1,218,009","1,216,087","1,215,490",C
Total Gross Loans,"667,767","659,669","657,333","645,960",C
Loan Loss Allowances,"(16,455)","(15,393)","(15,952)","(16,309)",C
Net Loans,"651,312","644,276","641,381","629,651",C
Prop./Plant/Equip. - Net,"2,900","2,900","2,800",--,C
"Goodwill, Net","21,299","19,865","19,597","19,326",C
Intangibles - Gross,"10,614","10,617","10,661","10,687",C
Accum. Intangible Amort.,"(6,119)","(6,095)","(6,135)","(6,202)",C
Intangibles - Net,"4,495","4,522","4,526","4,485",C
"Other Assets, Total","187,955","247,637","226,086","223,455",C
Total Assets,"2,291,413","2,394,105","2,380,904","2,381,064",C
Accounts Payable,"61,430","91,324","96,474","87,841",C
Accrued Expenses,"3,100","3,100","3,000","3,118",C
Non-Interest Bearing Dep.,"255,822","252,245","247,480","234,418",C
Interest Bearing Deposits,"1,061,408","1,081,466","1,074,368","1,072,068",C
Total Deposits,"1,317,230","1,333,711","1,321,848","1,306,486",C
"Other Bearing Lblts, Total","5,300","1,000","2,300","7,300",C
Fed Funds Purch.,"191,285","204,494","198,472","203,429",C
Other ST Borrowings,"27,973","30,144","40,054","47,368",C
Total ST Borrowings,"219,258","234,638","238,526","250,797",C
Total Long Term Debt,"249,074","252,954","255,125","245,768",C
Total Debt,"468,332","487,592","493,651","496,565",C
Minority Interest,700,644,612,557,C
"Other Liabilities, Total","233,349","279,025","264,005","280,637",C
Total Liabilities,"2,089,441","2,196,396","2,181,890","2,182,504",C
Redeemable Preferred Stock,"18,995","18,995","18,995","18,995",C
Common Stock,31,31,31,31,C
Additional Paid-In Capital,"108,003","108,050","108,210","108,347",C
Ret. Earn.(Accum. Deficit),"184,948","187,962","191,261","193,462",C
Treasury Stock - Common,"(71,240)","(73,744)","(73,988)","(73,977)",C
Unrealized Gain (Loss),"(1,801)","(5,285)","(4,819)","(4,527)",C
Cum. Trans. Adjustment,"(31,166)","(31,180)","(32,810)","(35,209)",C
Min. Pension Lblty Adj.,"(5,852)","(5,681)","(5,770)","(5,733)",C
Other Comprehensive Income,54,"(1,439)","(2,096)","(2,829)",C
"Other Equity, Total","(36,964)","(38,300)","(40,676)","(43,771)",C
Total Equity,"201,972","197,709","199,014","198,560",C
Total Liabilities & Shareholders’ Equity,"2,291,413","2,394,105","2,380,904","2,381,064",C
Ttl Comm. Shares Outs.,"1,984","1,942","1,937","1,937",C
Trsy. Shrs-Comm. Primary Iss.,"1,115","1,158","1,163","1,163",C
Trsry Shrs-Pref. Iss. 1,0,0,0,0,C
