items,2018,2019,2020,2021,2022,ticker
Cash & Equivalents,"6,506","7,152","7,624","7,763","8,262",MU
Short Term Investments,296,803,518,870,"1,069",MU
Cash and Short Term Invs,"6,802","7,955","8,142","8,633","9,331",MU
"Trade Accts Recvble, Net","5,056","2,778","3,494","4,920","4,765",MU
Other Receivables,422,415,418,391,365,MU
"Total Receivables, Net","5,478","3,193","3,912","5,311","5,130",MU
Invent. - Finished Goods,815,757,"1,001",513,"1,028",MU
Invent. - Work In Progress,"2,357","3,825","3,854","3,469","4,830",MU
Invent. - Raw Materials,423,536,752,505,805,MU
Total Inventory,"3,595","5,118","5,607","4,487","6,663",MU
Discont. Ops.-Curr. Assets,--,--,--,974,13,MU
Other Current Assets,164,237,304,502,644,MU
"Other Curr. Assets, Total",164,237,304,"1,476",657,MU
Total Current Assets,"16,039","16,503","17,965","19,907","21,781",MU
Buildings,"8,680","10,931","13,981","14,776","16,676",MU
Land/Improvements,345,352,352,280,280,MU
Machinery/Equipment,"38,904","44,841","49,398","52,889","62,478",MU
Construction in Progress,"1,162","1,700","1,600","1,517","1,897",MU
Other Prop./Plant/Equip.,--,--,584,551,678,MU
Prop./Plant/Equip. - Gross,"49,091","57,824","65,915","70,013","82,009",MU
Accumulated Depreciation,"(25,419)","(29,584)","(34,300)","(36,249)","(42,782)",MU
Prop./Plant/Equip. - Net,"23,672","28,240","31,615","33,764","39,227",MU
"Goodwill, Net","1,228","1,228","1,228","1,228","1,228",MU
Intangibles - Gross,675,583,616,633,742,MU
Accum. Intangible Amort.,(344),(243),(282),(284),(321),MU
Intangibles - Net,331,340,334,349,421,MU
LT Invt. - Affiliate Comp.,--,--,--,153,222,MU
LT Investments - Other,473,"1,164","1,048","1,765","1,647",MU
Long Term Investments,473,"1,164","1,048","1,918","1,869",MU
Def. Inc. Tax - LT Asset,"1,022",837,707,782,702,MU
Restricted Cash - LT,81,127,66,66,77,MU
Other Long Term Assets,530,448,715,835,978,MU
Total Assets,"43,376","48,887","53,678","58,849","66,283",MU
Accounts Payable,"1,692","1,677","2,191","1,744","2,142",MU
Payable/Accrued,--,--,112,291,421,MU
Accrued Expenses,841,695,903,"1,039",937,MU
Notes Payable/ST Debt,0,0,0,0,0,MU
Curr. Port. LT Dbt/Cap Ls.,859,"1,310",270,155,103,MU
Customer Advances,491,--,--,--,--,MU
Income Taxes Payable,402,309,237,364,420,MU
Other Payables,"1,279","1,757","2,374","1,887","2,170",MU
Other Current Liabilities,190,642,548,944,"1,346",MU
"Other Curr. Lblts, Total","2,362","2,708","3,159","3,195","3,936",MU
Total Current Liabilities,"5,754","6,390","6,635","6,424","7,539",MU
Long Term Debt,"3,245","4,173","5,963","5,972","6,020",MU
Capital Lease Obligations,535,368,410,649,783,MU
Total Long Term Debt,"3,780","4,541","6,373","6,621","6,803",MU
Total Debt,"4,639","5,851","6,643","6,776","6,906",MU
Minority Interest,967,987,0,--,--,MU
"Other Liabilities, Total",581,"1,088","1,674","1,871","2,034",MU
Total Liabilities,"11,082","13,006","14,682","14,916","16,376",MU
Common Stock,117,118,119,122,123,MU
Additional Paid-In Capital,"8,201","8,214","8,917","9,453","10,197",MU
Ret. Earn.(Accum. Deficit),"24,395","30,761","33,384","39,051","47,274",MU
Treasury Stock - Common,(429),"(3,221)","(3,495)","(4,695)","(7,127)",MU
Unrealized Gain (Loss),(2),7,8,1,(47),MU
Cum. Trans. Adjustment,0,(1),45,1,0,MU
Min. Pension Lblty Adj.,10,4,19,22,25,MU
Other Comprehensive Income,2,(1),(1),(22),(538),MU
"Other Equity, Total",12,2,63,1,(513),MU
Total Equity,"32,294","35,881","38,996","43,933","49,907",MU
Total Liabilities & Shareholders’ Equity,"43,376","48,887","53,678","58,849","66,283",MU
Ttl Comm. Shares Outs.,"1,161","1,106","1,113","1,119","1,094",MU
Trsy. Shrs-Comm. Primary Iss.,9,76,81,97,132,MU
