items,2018,2019,2020,2021,2022,ticker
Total Revenue,"167,940","179,589","189,894","213,989","238,587",ABC
"Cost of Revenue, Total","163,291","174,597","184,711","207,214","230,252",ABC
"Sell/Gen/AdminExpenses,Tot","2,460","2,664","2,767","3,594","4,849",ABC
Depreciation,284,295,280,327,387,ABC
Amortiz of Intangibles,181,167,111,178,307,ABC
Depreciation/Amortization,465,462,391,505,694,ABC
Restructuring Charge,37,102,31,46,36,ABC
Litigation,97,39,"6,713",104,121,ABC
Impair-Assets Held for Use,60,570,362,18,81,ABC
Other Unusual Expnse (In),109,43,76,153,143,ABC
Unusual Expense (Income),303,755,"7,182",321,381,ABC
Total Operating Expense,"166,520","178,477","195,051","211,635","236,176",ABC
Total Operating Income,"1,420","1,112","(5,158)","2,354","2,411",ABC
"Inter Expse,Net Non-Operat",(190),(195),(159),(183),(232),ABC
"Inter Income, Non-Operating",15,38,21,8,21,ABC
"Invest Income, Non-Operat",(42),14,0,--,(14),ABC
"Inter/Invest Inc, Non-Oper",(27),51,21,8,7,ABC
OtherNon-OperatInc (Expnse),(25),(1),2,42,(3),ABC
"Other, Net",(25),(1),2,42,(3),ABC
Income Before Tax,"1,177",967,"(5,294)","2,222","2,183",ABC
Income Tax - Total,174,150,"(1,894)",677,517,ABC
Income After Tax,"1,003",817,"(3,400)","1,545","1,667",ABC
Minority Interest,43,1,(9),(5),32,ABC
Net Inc Before Extra Items,"1,046",818,"(3,409)","1,540","1,699",ABC
Total Extraordinary Items,613,37,--,--,--,ABC
Total Net Income,"1,658",855,"(3,409)","1,540","1,699",ABC
Income Available to Common Excl. Extra. Items,"1,046",818,"(3,409)","1,540","1,699",ABC
Income Available to Common Incl. Extra. Items,"1,658",855,"(3,409)","1,540","1,699",ABC
Basic/Primary Weighted Average Shares,218,210,205,206,208,ABC
Basic/Primary EPS Excl. Extra. Items,4.80,3.89,(16.65),7.48,8.15,ABC
Basic/Primary EPS Incl. Extra. Items,7.61,4.07,(16.65),7.48,8.15,ABC
Diluted Weighted Average Shares,220,212,205,208,211,ABC
Diluted EPS Excl. Extra. Items,4.75,3.86,(16.65),7.39,8.04,ABC
Diluted EPS Incl. Extra. Items,7.53,4.04,(16.65),7.39,8.04,ABC
Div/Share-ComStockPrimIssue,1.52,1.60,1.66,1.76,1.84,ABC
Gross Divid - Common Stock,333,339,344,367,392,ABC
Pro Forma Net Income,--,--,--,--,--,ABC
"Interest Expense, Suppl",190,195,159,183,232,ABC
"Depreciat/Amort, Suppl",318,321,291,327,391,ABC
Total Special Items,303,755,"7,182",321,381,ABC
Normalzd Income Before Tax,"1,480","1,722","1,888","2,543","2,564",ABC
Efct/SpecItemsIncTxs (STEC),45,117,"2,514",98,90,ABC
IncTxsExcl ImpctofSpec Itms,219,267,619,775,607,ABC
Normalized Income After Tax,"1,261","1,455","1,269","1,768","1,957",ABC
Normalzd Inc Avail to Common,"1,304","1,456","1,260","1,763","1,990",ABC
Basic Normalized EPS,5.98,6.93,6.15,8.56,9.54,ABC
Diluted Normalized EPS,5.92,6.87,6.15,8.46,9.42,ABC
