items,Q4 2021,Q4 2022,Q1 2023,Q2 2023,ticker
Total Revenue,"1,529","1,301","1,349","1,574",UA
"Cost of Revenue, Total",753,696,719,860,UA
"Sell/Gen/AdminExpenses,Tot",674,594,595,594,UA
Depreciation/Amortization,--,1,1,1,UA
Restructuring Charge,15,57,0,0,UA
Impair-Assets Held for Use,2,--,--,--,UA
Other Unusual Expnse (In),(1),--,--,--,UA
Unusual Expense (Income),16,57,0,0,UA
Total Operating Expense,"1,443","1,347","1,315","1,454",UA
Total Operating Income,86,(46),34,119,UA
"Inter Expse,Net Non-Operat",(8),(6),(6),(4),UA
OtherNon-OperatInc (Expnse),24,0,(14),(6),UA
"Other, Net",24,0,(14),(6),UA
Income Before Tax,103,(52),14,110,UA
Income Tax - Total,(7),8,6,22,UA
Income After Tax,109,(60),9,88,UA
Equity In Affiliates,0,1,(1),(1),UA
Net Inc Before Extra Items,110,(60),8,87,UA
Total Net Income,110,(60),8,87,UA
Income Available to Common Excl. Extra. Items,110,(60),8,87,UA
Income Available to Common Incl. Extra. Items,110,(60),8,87,UA
Basic/Primary Weighted Average Shares,476,471,458,454,UA
Basic/Primary EPS Excl. Extra. Items,0.23,(0.13),0.02,0.19,UA
Basic/Primary EPS Incl. Extra. Items,0.23,(0.13),0.02,0.19,UA
Diluted Weighted Average Shares,480,471,468,464,UA
Diluted EPS Excl. Extra. Items,0.23,(0.13),0.02,0.19,UA
Diluted EPS Incl. Extra. Items,0.23,(0.13),0.02,0.19,UA
Div/Share-ComStockPrimIssue,--,--,0.00,0.00,UA
Gross Divid - Common Stock,0,0,--,0,UA
Pro Forma Net Income,--,--,--,--,UA
"Interest Expense, Suppl",8,6,6,4,UA
"Depreciat/Amort, Suppl",33,35,34,33,UA
Total Special Items,16,57,0,0,UA
Normalzd Income Before Tax,119,5,14,110,UA
Efct/SpecItemsIncTxs (STEC),6,20,0,0,UA
IncTxsExcl ImpctofSpec Itms,(1),28,6,22,UA
Normalized Income After Tax,120,(24),9,88,UA
Normalzd Inc Avail to Common,120,(23),8,87,UA
Basic Normalized EPS,0.25,(0.05),0.02,0.19,UA
Diluted Normalized EPS,0.25,(0.05),0.02,0.19,UA
