items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash and Short Term Invs,"6,631","3,245","3,151","6,888",TMUS
"Trade Accts Recvble, Gross","4,313","4,180","4,643","4,485",TMUS
Prov. for Doubtful Accts,(146),(164),(177),(161),TMUS
"Trade Accts Recvble, Net","4,453","4,226","4,693","4,610",TMUS
Other Receivables,"4,775","5,061","5,129","5,048",TMUS
"Total Receivables, Net","9,228","9,287","9,822","9,658",TMUS
Total Inventory,"2,567","2,715","2,243","2,247",TMUS
Prepaid Expenses,746,727,776,711,TMUS
"Other Curr. Assets, Total","1,719","1,481","1,484","1,923",TMUS
Total Current Assets,"20,891","17,455","17,476","21,427",TMUS
Prop./Plant/Equip. - Net,"70,084","74,742","73,943","73,917",TMUS
"Goodwill, Net","12,188","12,234","12,234","12,234",TMUS
Intangibles - Gross,"6,925",--,--,--,TMUS
Accum. Intangible Amort.,"(2,192)",--,--,--,TMUS
Intangibles - Net,"97,339","97,109","99,772","99,530",TMUS
Note Rcvble - Long Term,"2,829","2,837","2,605","2,514",TMUS
Other Long Term Assets,"3,232","6,276","3,433","3,877",TMUS
Total Assets,"206,563","210,653","209,463","213,499",TMUS
Accounts Payable,"6,499","6,739","6,292","6,822",TMUS
Payable/Accrued,--,--,--,750,TMUS
Accrued Expenses,"8,331","7,647","8,238","7,766",TMUS
Notes Payable/ST Debt,"5,623","4,115","2,942","7,398",TMUS
Curr. Port. LT Dbt/Cap Ls.,"1,120","1,121","1,220","1,239",TMUS
Customer Advances,856,842,810,777,TMUS
Other Payables,103,--,--,--,TMUS
Other Current Liabilities,967,959,"1,120","1,610",TMUS
"Other Curr. Lblts, Total","1,926","1,801","1,930","2,387",TMUS
Total Current Liabilities,"23,499","21,423","20,622","26,362",TMUS
Long Term Debt,"71,376","72,392","72,053","70,299",TMUS
Capital Lease Obligations,"1,455","1,447","1,597","1,590",TMUS
Total Long Term Debt,"72,831","73,839","73,650","71,889",TMUS
Total Debt,"79,574","79,075","77,812","80,526",TMUS
Deferred Income Tax,"10,216","10,410","10,433","10,397",TMUS
"Other Liabilities, Total","30,915","35,005","34,724","34,701",TMUS
Total Liabilities,"137,461","140,677","139,429","143,349",TMUS
Common Stock,0,0,0,0,TMUS
Additional Paid-In Capital,"73,292","73,420","73,552","73,797",TMUS
Ret. Earn.(Accum. Deficit),"(2,812)","(2,099)","(2,207)","(1,699)",TMUS
Treasury Stock - Common,(13),(16),(16),(685),TMUS
Other Equity,0,0,0,0,TMUS
Other Comprehensive Income,"(1,365)","(1,329)","(1,295)","(1,263)",TMUS
"Other Equity, Total","(1,365)","(1,329)","(1,295)","(1,263)",TMUS
Total Equity,"69,102","69,976","70,034","70,150",TMUS
Total Liabilities & Shareholders’ Equity,"206,563","210,653","209,463","213,499",TMUS
Ttl Comm. Shares Outs.,"1,249","1,253","1,254","1,250",TMUS
Trsy. Shrs-Comm. Primary Iss.,2,2,2,6,TMUS
