items,2017,2018,2019,2020,2021,ticker
Net Income,"8,207","9,315","8,116","(7,708)","9,653",SAN
Depreciation/Depletion,"2,593","2,425","3,001","2,810","2,756",SAN
Non-Cash Items,"21,334","19,289","20,989","35,026","18,607",SAN
"Cash Taxes Pd, Supplemental","4,137","3,342","2,593","2,946","4,012",SAN
Changes in Working Capital,"8,054","(27,613)","(28,717)","36,025","25,675",SAN
Total Cash from Operations,"40,188","3,416","3,389","66,153","56,691",SAN
Purchase of Fixed Assets,"(7,450)","(10,726)","(12,766)","(7,386)","(10,015)",SAN
Purchase/Acq of Intangibles,"(1,538)","(1,469)","(1,377)","(1,134)","(1,388)",SAN
Capital Expenditures,"(8,988)","(12,195)","(14,143)","(8,520)","(11,403)",SAN
Acquisition of Business,(838),(730),(83),"(2,931)",(140),SAN
Sale of Business,263,431,218,"1,775",6,SAN
Sale of Fixed Assets,"3,211","3,670","4,091","2,014","6,382",SAN
Sale/Maturity of Investment,"1,270","2,327",686,182,672,SAN
Purchase of Investments,(308),(11),(63),(525),(126),SAN
Sale of Intangible,0,--,--,--,--,SAN
Other Investing Cash Flow,"1,382","9,656","2,065",785,894,SAN
"OtherInvestCashFlowItms,Tot","4,980","15,343","6,914","1,300","7,688",SAN
Total Cash from Investing,"(4,008)","3,148","(7,229)","(7,220)","(3,715)",SAN
Financing Cash Flow Items,"(1,210)",(925),"(2,335)","(2,187)","(1,874)",SAN
Total Cash Dividends Paid,"(2,665)","(3,118)","(3,773)",0,"(1,313)",SAN
Sale/Issuance of Common,"8,403",989,947,721,854,SAN
Repurch/Retirement Common,"(1,309)","(1,026)",(928),(758),"(1,645)",SAN
"Iss (Retirmnt) of Stock,Net","7,094",(37),19,(37),(791),SAN
Total Debt Issued,"2,994","3,283","1,090","4,095","5,340",SAN
Total Debt Reduction,"(2,007)","(2,504)","(5,123)","(3,780)","(2,684)",SAN
"Iss (Retirmnt) of Debt, Net",987,779,"(4,033)",315,"2,656",SAN
Total Cash From Financing,"4,206","(3,301)","(10,122)","(1,909)","(1,322)",SAN
Foreign Exchange Effects,"(5,845)",(595),"1,366","(4,252)","5,196",SAN
Net Change in Cash,"34,541","2,668","(12,596)","52,772","56,850",SAN
NetCash-BeginBal/RsvdforFutUse,"76,454","110,995","113,663","101,067","153,839",SAN
NetCash-EndBal/RsrvforFutUse,"110,995","113,663","101,067","153,839","210,689",SAN
"Depreciation, Supplemental","2,593","2,425","3,001","2,810","2,756",SAN
