items,2017,2018,2019,2020,2021,ticker
Interest & Fees on Loans,"6,722","7,801","8,008","6,690","6,488",UBS
Inter & Divs/ Invest Securs,"2,639","2,683","2,946","1,258","1,532",UBS
Other Interest Income,"1,634","2,860","2,189","2,161","1,944",UBS
Other Non-Bank Income,(1),1,(1),--,--,UBS
Trading Account Interest,"3,483","3,724","2,255",--,--,UBS
"Interest Income, Bank","14,477","17,069","15,397","10,109","9,964",UBS
Total Interest Expense,"7,822","11,044","10,897","4,247","3,259",UBS
Net Interest Income,"6,655","6,025","4,500","5,862","6,705",UBS
Loan Loss Provision,131,118,78,694,(148),UBS
NetInterIn after Loan Loss Provision,"6,524","5,907","4,422","5,168","6,853",UBS
Fees & Commish from Operat,"19,362","19,598","19,109","20,961","24,372",UBS
Invest Securities Gains,195,0,31,40,9,UBS
Unrealized Gains,"5,065","5,984","6,842","6,960","5,850",UBS
Other Unusual Income,10,(204),(52),926,230,UBS
Other Revenue,306,631,195,110,162,UBS
"Non-Interest Income, Bank","24,938","26,009","26,125","28,997","30,623",UBS
Labor & Related Expenses,"(15,654)","(16,087)","(15,881)","(17,224)","(18,187)",UBS
Depreciation Expense,"(1,035)","(1,153)","(1,718)","(1,997)","(2,078)",UBS
Amortization of Intangibles,(71),(61),(65),(55),(31),UBS
Litigation Expense,(434),(657),(127),(197),(860),UBS
Other Unusual Expense,(18),162,(147),(74),(9),UBS
Restructuring Charge,"(1,192)",(561),(294),--,(200),UBS
Other Expense,"(7,707)","(7,568)","(6,738)","(6,463)","(6,627)",UBS
"Non-Interest Expense, Bank","(26,111)","(25,925)","(24,970)","(26,010)","(27,992)",UBS
Income Before Tax,"5,351","5,991","5,577","8,155","9,484",UBS
Income Tax - Total,"1,366","1,468","1,267","1,583","1,998",UBS
Income After Tax,"3,985","4,523","4,310","6,572","7,486",UBS
Minority Interest,(77),(7),(6),(15),(29),UBS
Net Inc Before Extra Items,"3,908","4,516","4,304","6,557","7,457",UBS
Total Extraordinary Items,"(2,939)",--,--,--,--,UBS
Total Net Income,969,"4,516","4,304","6,557","7,457",UBS
Total Adjust to Net Income,--,0,--,--,--,UBS
Income Available to Common Excl. Extra. Items,"3,908","4,516","4,304","6,557","7,457",UBS
Income Available to Common Incl. Extra. Items,969,"4,516","4,304","6,557","7,457",UBS
Basic/Primary Weighted Average Shares,"3,716","3,730","3,663","3,583","3,483",UBS
Basic/Primary EPS Excl. Extra. Items,1.05,1.21,1.17,1.83,2.14,UBS
Basic/Primary EPS Incl. Extra. Items,0.26,1.21,1.17,1.83,2.14,UBS
Dilution Adjustment,--,(2),0,(1),0,UBS
Diluted Weighted Average Shares,"3,837","3,842","3,767","3,707","3,627",UBS
Diluted EPS Excl. Extra. Items,1.02,1.18,1.14,1.77,2.06,UBS
Diluted EPS Incl. Extra. Items,0.25,1.18,1.14,1.77,2.06,UBS
Div/Share-ComStockPrimIssue,0.65,0.71,0.34,--,--,UBS
Gross Divid - Common Stock,"2,505","3,255","5,256","2,628","3,400",UBS
Pro Forma Net Income,--,--,--,--,--,UBS
"Depreciat/Amort, Suppl","1,035","1,153","1,718","1,997","2,078",UBS
Total Special Items,"1,634","1,260",620,(476),855,UBS
Normalzd Income Before Tax,"6,985","7,251","6,197","7,679","10,339",UBS
Efct/SpecItemsIncTxs (STEC),417,309,141,(92),180,UBS
IncTxsExcl ImpctofSpec Itms,"1,783","1,777","1,408","1,491","2,178",UBS
Normalized Income After Tax,"5,202","5,474","4,789","6,188","8,161",UBS
Normalzd Inc Avail to Common,"5,125","5,467","4,783","6,173","8,132",UBS
Basic Normalized EPS,1.38,1.47,1.31,1.72,2.33,UBS
Diluted Normalized EPS,1.34,1.42,1.27,1.67,2.24,UBS
