items,2017,2018,2019,2020,2021,ticker
Net Income,157,175,147,269,188,TDS
Depreciation/Depletion,844,883,932,909,895,TDS
Deferred Taxes,(369),33,34,190,52,TDS
Unusual Items,260,(9),11,20,24,TDS
Equity in Net Earnings/Loss,(137),(160),(168),(181),(182),TDS
Other Non-Cash Items,144,159,175,133,170,TDS
Non-Cash Items,267,(10),18,(28),12,TDS
"Cash Taxes Pd, Supplemental",56,40,44,(23),6,TDS
"Cash Interest Pd, Suppl",167,168,162,160,177,TDS
Accounts Receivable,(322),(188),(146),(70),(138),TDS
Inventories,6,(5),(19),12,(25),TDS
Accounts Payable,(7),2,(60),173,(69),TDS
Accrued Expenses,0,--,--,--,--,TDS
Changes in Working Capital,(123),(64),(115),192,(44),TDS
Total Cash from Operations,776,"1,017","1,016","1,532","1,103",TDS
Capital Expenditures,(685),(776),(957),"(1,338)","(1,131)",TDS
Acquisition of Business,(218),(16),(346),(202),"(1,308)",TDS
Sale of Business,21,29,41,26,3,TDS
Sale/Maturity of Investment,--,100,29,1,3,TDS
Purchase of Investments,(100),(17),(11),(3),0,TDS
Other Investing Cash Flow,1,0,(5),5,(29),TDS
"OtherInvestCashFlowItms,Tot",(296),96,(292),(173),"(1,331)",TDS
Total Cash from Investing,(981),(680),"(1,249)","(1,511)","(2,462)",TDS
Financing Cash Flow Items,5,0,9,(57),(72),TDS
Total Cash Dividends Paid,(69),(72),(75),(78),(119),TDS
Sale/Issuance of Common,--,18,--,--,--,TDS
Repurch/Retirement Common,0,0,(21),(48),(55),TDS
"Common Stock, Net",5,60,(36),(48),(60),TDS
Sale/Issuance of Preferred,--,--,--,--,"1,110",TDS
Repurch/Retirement Preferd,(1),--,--,--,--,TDS
"Preferred Stock, Net",(1),--,--,--,"1,110",TDS
"Iss (Retirmnt) of Stock,Net",4,60,(36),(48),"1,050",TDS
Long Term Debt Issued,0,0,--,"1,250","1,543",TDS
Long Term Debt Reduction,(17),(20),(118),(110),"(2,081)",TDS
"Iss (Retirmnt) of Debt, Net",(17),(20),(118),"1,140",(538),TDS
Total Cash From Financing,(77),(32),(220),957,321,TDS
Net Change in Cash,(282),305,(453),978,"(1,038)",TDS
NetCash-BeginBal/RsvdforFutUse,904,622,927,474,"1,452",TDS
NetCash-EndBal/RsrvforFutUse,622,927,474,"1,452",414,TDS
"Depreciation, Supplemental",844,883,932,909,895,TDS
